"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"norwich city","2008-09","championship","3","0","0","0","0","0","-","-","3","0"
"norwich city","2009-10","league one","7","0","0","0","1","0","2","0","10","0"
"norwich city","2010-11","championship","1","0","0","0","0","0","-","-","1","0"
"norwich city","total","total","11","0","0","0","1","0","2","0","14","0"
"stevenage","2010-11","league two","2","0","0","0","0","0","0","0","2","0"
"plymouth argyle","2011-12","league two","18","1","1","0","1","0","1","1","21","2"
"lincoln city","2012-13","conference premier","5","0","0","0","-","-","0","0","5","0"
"braintree town","2012-13","conference premier","30","7","2","0","-","-","0","0","32","7"
"braintree town","2013-14","conference premier","30","1","1","0","-","-","0","0","31","1"
"braintree town","total","total","60","8","3","0","-","-","0","0","63","8"
"dartford","2014-15","conference premier","31","1","2","0","-","-","5","0","38","1"
"chelmsford city","2015-16","national league south","38","4","3","0","-","-","6","0","47","4"
"chelmsford city","2016-17","national league south","22","0","1","0","-","-","10","2","33","2"
"chelmsford city","2017-18","national league south","7","1","1","0","-","-","2","0","10","1"
"chelmsford city","total","total","67","5","5","0","0","0","18","2","90","7"
"career total","career total","career total","194","15","11","0","2","0","26","3","233","18"
