"title","album details","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","certifications"
"title","album details","ire","aus","aut","can","fra","ger","nld","spa","uk","us","certifications"
"forgiven, not forgotten","released: 26 september 1995 label: atlantic, 143, lava formats: cd, lp, cs, md","2","1","10","50","16","86","38","4","2","131","irma: 13× platinum aria: 9× platinum mc: platinum snep: platinum eu: 2× platinum promusicae: 3× platinum bpi: 3× platinum riaa: gold"
"talk on corners","released: 28 october 1997 label: atlantic, 143, lava formats: cd, lp, cs, md","1","3","9","87","5","9","13","5","1","72","irma: 20× platinum aria: 4× platinum mc: gold snep: 2× gold eu: 6× platinum bvmi: gold promusicae: 6× platinum bpi: 9× platinum riaa: gold"
"in blue","released: 17 july 2000 label: atlantic, 143, lava formats: cd, lp, cs, md, dvd-a","1","1","1","5","2","1","2","1","1","21","irma: 6× platinum aria: 4× platinum ifpi aut: platinum mc: platinum snep: platinum eu: 3× platinum bmvi: 3× gold nvpi: gold promusicae: 3× platinum bpi: 3× platinum riaa: platinum"
"borrowed heaven","released: 31 may 2004 label: atlantic formats: cd, lp, di","1","4","5","21","5","2","4","2","2","51","aria: platinum snep: gold bmvi: gold promusicae: gold bpi: gold"
"home","released: 26 september 2005 label: atlantic formats: cd, lp, di","1","44","13","-","5","12","15","8","14","-","irma: 2× platinum snep: platinum promusicae: gold bpi: silver"
"white light","released: 27 november 2015 label: east west formats: cd, di","10","18","13","-","28","11","17","25","11","-","bpi: gold"
"jupiter calling","released: 10 november 2017 label: east west formats: cd, lp, di","20","27","46","-","52","42","31","13","15","-","none"
""-" denotes a release that did not chart or was not released in that territory",""-" denotes a release that did not chart or was not released in that territory",""-" denotes a release that did not chart or was not released in that territory",""-" denotes a release that did not chart or was not released in that territory",""-" denotes a release that did not chart or was not released in that territory",""-" denotes a release that did not chart or was not released in that territory",""-" denotes a release that did not chart or was not released in that territory",""-" denotes a release that did not chart or was not released in that territory",""-" denotes a release that did not chart or was not released in that territory",""-" denotes a release that did not chart or was not released in that territory",""-" denotes a release that did not chart or was not released in that territory",""-" denotes a release that did not chart or was not released in that territory",""-" denotes a release that did not chart or was not released in that territory"
