"club","season","league","league","league","cup","cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"pomorac kostrena","2009-10","2. hnl","24","0","4","0","-","-","28","0"
"pomorac kostrena","2010-11","2. hnl","28","1","1","0","-","-","29","1"
"istra 1961","2011-12","1. hnl","19","1","2","0","-","-","21","1"
"rijeka","2012-13","1. hnl","20","1","1","0","-","-","21","1"
"rijeka","2013-14","1. hnl","19","0","4","0","9","0","32","0"
"croatia total","croatia total","croatia total","129","3","12","0","9","0","150","3"
"zawisza bydgoszcz","2014-15","ekstraklasa","17","0","0","0","0","0","17","0"
"persepolis","2015-16","pro league","8","0","1","0","-","-","9","0"
"career total","career total","career total","153","3","13","0","9","0","175","3"
