"athlete","event","heat","heat","semifinal","semifinal","final","final"
"athlete","event","result","rank","result","rank","result","rank"
"henry mwendo","200m t12","22.88","4 q","23.24","4","did not advance","did not advance"
"henry mwendo","400m t12","52.67","4","did not advance","did not advance","did not advance","did not advance"
"david korir","800m t13","1:54.56","1 q","n/a","n/a","1:53.16","none"
"david korir","1500m t13","3:53.96","1 q","n/a","n/a","3:48.84","none"
"stanley cheruiyot","800m t46","1:59.23","3 q","n/a","n/a","2:03.78","7"
"stanley cheruiyot","1500m t46","4:01.58","5 q","n/a","n/a","4:02.54","11"
"jonah chesum","800m t46","1:55.51","4 q","n/a","n/a","1:56.57","6"
"jonah chesum","1500m t46","3:59.72","2 q","n/a","n/a","4:00.38","7"
"abraham tarbei","800m t46","1:55.39","3 q","n/a","n/a","1:53.03","none"
"abraham tarbei","1500m t46","3:59.79","1 q","n/a","n/a","3:50.15","none"
"samwel kimani","1500m t11","4:09.44","1 q","n/a","n/a","3:58.37","none"
"immanuel cheruiyot","1500m t11","dsq","dsq","n/a","n/a","did not advance","did not advance"
"immanuel cheruiyot","5000m t11","n/a","n/a","n/a","n/a","16:39.73","10"
"henry kirwa","1500m t13","3:55.35","2 q","n/a","n/a","3:53.55","5"
"henry kirwa","5000m t12","n/a","n/a","n/a","n/a","14:20.76","none"
"wilson bii","5000m t11","n/a","n/a","n/a","n/a","dnf","dnf"
"francis karanja","5000m t11","n/a","n/a","n/a","n/a","15:56.67","4"
"henry wanyoike","marathon t12","n/a","n/a","n/a","n/a","dnf","dnf"
