"","total retail sales at cannabis stores","july 1st q3 2019 population estimate","sales per capita"
"","unadjusted dollars","persons","dollars"
"canada","907,833","37,589,262","24"
"newfoundland and labrador","30,615","521,542","59"
"prince edward island","15,216","156,947","97"
"nova scotia","65,805","971,395","68"
"new brunswick","37,905","776,827","49"
"quebec","194,865","8,484,965","23"
"ontario","216,807","14,566,547","15"
"manitoba","56,103","1,369,465","41"
"saskatchewan","38,165","1,174,462","32"
"alberta","195,740","4,371,316","45"
"british columbia","49,659","5,071,336","10"
"yukon","4,216","40,854","103"
"northwest territories","2,737","44,826","61"
"nunavut","..","38,780",".."
