"club","season","league","league","league","national cup","national cup","league cup/state league","league cup/state league","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"westerlo","2004-05","belgian first division","9","1","0","0","-","-","9","1","none","none"
"westerlo","2005-06","belgian first division","18","10","2","1","-","-","20","11","none","none"
"total","total","total","27","11","2","1","-","-","29","12","none","none"
"getafe","2005-06","la liga","2","0","0","0","-","-","2","0","none","none"
"flamengo","2006","serie a","2","0","0","0","-","-","0","0","2","0"
"genk","2006-07","belgian first division","9","1","2","0","-","-","11","1","none","none"
"westerlo","2007-08","belgian first division","9","4","1","0","-","-","10","4","none","none"
"metalist kharkiv","2007-08","vyshcha liha","11","3","0","0","-","-","0","0","11","3"
"metalist kharkiv","2008-09","premier liha","23","11","2","2","-","-","10","4","35","17"
"metalist kharkiv","2009-10","premier liha","25","16","1","0","-","-","2","0","28","16"
"metalist kharkiv","2010-11","premier liha","2","0","0","0","-","-","0","0","2","0"
"total","total","total","61","30","3","0","-","-","12","4","76","36"
"trabzonspor","2010-11","spor toto super lig","29","12","1","2","-","-","1","0","31","14"
"al-ahli","2011-12","etisalat pro-league","5","1","","","","","","","5","1"
"internacional","2012","serie a","16","2","0","0","9","2","5","0","30","4"
"metalist kharkiv","2012-13","premier liha","3","1","0","0","-","-","2","0","5","1"
"metalist kharkiv","2014-15","premier liha","9","4","2","1","-","-","6","0","17","5"
"total","total","total","12","5","2","1","-","-","8","0","22","6"
"kayserispor","2013-14","spor toto super lig","10","3","0","0","-","-","10","3","none","none"
"coritiba","2014","serie a","7","0","0","0","0","0","-","-","7","0"
"chongqing lifan","2015","chinese super league","5","0","0","0","-","-","5","0","none","none"
"lokeren","2015-16","jupiler pro league","20","3","1","0","-","-","21","3","none","none"
"lokeren","2016-17","jupiler pro league","12","2","1","0","-","-","13","2","none","none"
"total","total","total","32","5","2","0","-","-","34","5","none","none"
"buriram united","2017","toyota thai league","34","34","4","3","0","0","-","-","38","37"
"muangthong united f.c","2018","toyota thai league","4","2","0","0","0","0","2","0","6","2"
"total","total","total","38","36","4","3","0","0","2","0","44","39"
"career total","career total","career total","247","110","17","9","9","2","28","4","301","125"
