"","2002","2004","2006","2008","2010","2012"
"","tonnes","tonnes","tonnes","tonnes","tonnes","tonnes"
"canada","6,641,546","7,112,735","7,626,683","8,310,570","8,083,370","8,448,007"
"all paper fibres","3,109,797","3,126,430","3,421,209","3,437,976","3,246,679","3,355,667"
"glass","329,353","395,150","378,003","421,007","434,872","412,092"
"ferrous metals","632,165","287,280","278,036","350,370","451,954","452,790"
"copper and aluminum","41,583","49,476","51,225","58,950","76,935","80,318"
"mixed metals","179,257","146,022","148,231","127,033","93,125","101,111"
"white goods,",".","236,683","299,397","312,988","328,396","327,791"
"electronics",".","10,245","11,357","24,367","51,105","71,396"
"plastics","144,181","192,088","232,339","296,797","313,036","318,550"
"tires",".","136,386","138,646","158,336","151,960","160,686"
"construction, renovation and demolition","645,931","848,197","715,364","720,076","653,255","636,573"
"organics","1,310,790","1,519,601","1,906,114","2,332,295","2,212,484","2,453,330"
"other materials","248,491","165,180","46,763","70,375","69,569","77,703"
