"","nalmf","nalmf","nalmf","nalmf","ceedd-bom","ceedd-bom","ceedd-bom"
"","number of enterprises","number of enterprises with employment","total employment","average number of employees per enterprise with employment","number of enterprises","number of enterprises with employment","total employment"
"","column 1","column 2","column 3","column 4","column 5","column 6","column 7"
"","number","number","number","number","number","number","number"
"2005","2,104,500","1,070,300","15,411,100","14.4","4,732,900","776,200","7,486,300"
"2006","2,174,100","1,096,100","15,768,100","14.4","4,825,000","804,700","7,760,000"
"2007","2,249,500","1,129,900","16,077,000","14.2","4,934,500","833,500","7,848,000"
"2008","2,321,100","1,150,900","16,225,700","14.1","5,076,300","857,000","7,933,700"
"2009","2,356,700","1,159,100","15,928,500","13.7","5,106,200","865,900","7,842,800"
"2010","2,409,100","1,175,300","16,062,700","13.7","5,169,000","879,900","7,879,300"
"2011","2,452,200","1,191,800","16,315,500","13.7","5,338,700","896,700","7,847,900"
"2012","2,485,700","1,207,800","16,419,100","13.6","5,425,300","897,600","7,828,400"
"2013","2,504,000","1,219,000","16,543,600","13.6","5,604,500","909,500","8,046,300"
"average","2,339,600","1,155,600","16,083,500","13.9","5,134,700","857,900","7,830,300"
