"","aboriginal population","non-aboriginal population","difference"
"","percent","percent","percentage points"
"participation rate","","",""
"total, all education levels","75.9","86.7","-10.8"
"less than high school","54.9","67.9","-13.0"
"high school graduate or some postsecondary","72.9","82.0","-9.1"
"completed postsecondary education","85.1","90.3","-5.2"
"employment rate","","",""
"total, all education levels","67.5","81.8","-14.3"
"less than high school","42.8","60.5","-17.7"
"high school graduate or some postsecondary","63.9","76.3","-12.4"
"completed postsecondary education","78.4","85.9","-7.5"
"unemployment rate","","",""
"total, all education levels","11.0","5.7","5.3"
"less than high school","22.0","11.0","11.0"
"high school graduate or some postsecondary","12.3","7.0","5.3"
"completed postsecondary education","7.9","4.9","3.0"
