"","volunteer rate","volunteer rate","volunteer rate","volunteer rate","average annual volunteer hours","average annual volunteer hours","average annual volunteer hours","average annual volunteer hours"
"","2013","2010","2007","2004","2013","2010","2007","2004"
"","percentage","percentage","percentage","percentage","hours","hours","hours","hours"
"canada","44","47","46","45","154","156","166","168"
"newfoundland and labrador","46","52","46","42","151","155","176","188"
"prince edward island","50","56","56","47","179","157","147","163"
"nova scotia","51","54","55","48","181","207","183","195"
"new brunswick","41","49","48","44","180","154","175","185"
"quebec","32","37","37","34","123","128","162","146"
"ontario","44","48","47","50","166","164","164","162"
"manitoba","52","53","54","50","155","141","159","155"
"saskatchewan","56","58","59","54","139","143","147","188"
"alberta","50","55","52","48","161","140","172","175"
"british columbia","49","50","47","45","145","178","172","199"
