"club","season","first division","first division","fa cup","fa cup","league cup","league cup","europe","europe","other","other","total","total"
"club","season","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"manchester united","1981-82","2","1","0","0","0","0","0","0","0","0","2","1"
"manchester united","1982-83","39","8","7","3","9","3","2","0","0","0","57","14"
"manchester united","1983-84","37","10","1","0","6","1","6","1","1","0","51","12"
"manchester united","1984-85","27","9","6","4","1","0","5","0","0","0","39","13"
"manchester united","1985-86","37","4","5","1","4","2","0","0","5","1","51","8"
"manchester united","1986-87","31","8","2","1","4","1","0","0","0","0","37","10"
"manchester united","1987-88","27","7","3","1","5","2","0","0","0","0","35","10"
"manchester united","1988-89","6","0","0","0","0","0","0","0","0","0","6","0"
"manchester united","total","206","47","24","10","29","9","13","1","6","1","278","68"
"everton","1989-90","27","9","6","3","2","1","0","0","0","0","35","13"
"everton","1990-91","2","0","0","0","0","0","0","0","0","0","2","0"
"everton","total","29","9","6","3","2","1","0","0","0","0","37","13"
"career total","career total","235","56","30","13","31","10","13","1","6","1","315","81"
