"field","world","united states","eu","china","japan","india"
"all articles","2290294","431623","638834","395588","103793","106574"
"agricultural sciences","2.2","1.2","1.9","2.1","1.6","3.1"
"astronomy","0.6","0.8","0.9","0.2","0.5","0.4"
"biological sciences","15.8","18.6","15.2","13.9","14.6","18.1"
"chemistry","8.1","5.4","6.7","12.5","9.5","12.5"
"computer sciences","8.9","6.5","9.5","9.7","7.9","14.2"
"engineering","17.1","11.7","14","27.8","17.2","18.4"
"geosciences","5.6","5.1","5.3","6.9","3.7","4.5"
"mathematics","2.6","2.1","2.7","2.7","1.8","2"
"medical sciences","22.1","28","24.1","12.4","27.5","15.9"
"other life sciences","1.2","2.3","1.2","0.2","0.3","0.2"
"physics","9","7.5","8.8","10.6","13.6","8.5"
"psychology","1.7","3.7","2.1","0.2","0.5","0.2"
"social sciences","5.1","7.2","7.5","0.8","1.2","1.9"
