"title","album details","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","certifications"
"title","album details","uk","bel fla","bel wal","can","fra","ger","ned","nor","swi","us","certifications"
"blues breakers with eric clapton","released: 22 july 1966 label: decca formats: lp, reel-to-reel","6","-","-","-","-","-","-","-","-","-","bpi: gold"
"a hard road","released: 17 february 1967 label: decca formats: lp, reel-to-reel","10","-","-","-","-","-","-","-","-","-",""
"crusade","released: 1 september 1967 label: decca format: lp","8","-","-","-","-","-","-","20","-","136",""
"the blues alone","released: november 1967 label: ace of clubs formats: lp, reel-to-reel","24","-","-","-","-","-","-","-","-","128",""
"bare wires","released: 21 june 1968 label: decca format: lp","3","-","-","-","-","-","-","9","-","59",""
"blues from laurel canyon","released: november 1968 label: decca formats: lp, reel-to-reel","33","-","-","38","-","33","-","-","-","68",""
"empty rooms","released: march 1970 label: polydor format: lp","9","-","-","18","-","21","-","10","-","33",""
"usa union","released: october 1970 label: polydor formats: lp, 8-track, cs","50","-","-","18","-","-","-","20","-","22",""
"back to the roots","released: march 1971 label: polydor formats: lp, 8-track, cs","31","-","-","40","-","-","-","-","-","52",""
"memories","released: november 1971 label: polydor formats: lp, 8-track, cs","-","-","-","-","-","-","-","-","-","179",""
"ten years are gone","released: september 1973 label: polydor formats: lp, 8-track, cs","-","-","-","-","-","-","-","-","-","157",""
"the latest edition","released: september 1974 label: polydor formats: lp, 8-track, cs","-","-","-","-","-","-","-","-","-","-",""
"new year, new band, new company","released: march 1975 label: abc formats: lp, 8-track","-","-","-","-","-","-","-","-","-","140",""
"notice to appear","released: november 1975 label: abc formats: lp, 8-track, cs","-","-","-","-","-","-","-","-","-","-",""
"a banquet in blues","released: august 1976 label: abc formats: lp, 8-track","-","-","-","-","-","-","-","-","-","-",""
"a hard core package","released: september 1977 label: abc formats: lp, 8-track","-","-","-","-","-","-","-","-","-","-",""
"bottom line","released: may 1979 label: djm formats: lp, cs","-","-","-","-","-","-","-","-","-","-",""
"no more interviews","released: january 1980 label: djm formats: lp, 8-track, cs","-","-","-","-","-","-","-","-","-","-",""
"road show blues","released: may 1981 label: djm format: lp","-","-","-","-","-","-","-","-","-","-",""
"return of the bluesbreakers","released: 1985 label: aim formats: cd, lp","-","-","-","-","-","-","-","-","-","-",""
"chicago line","released: october 1988 label: island formats: cd, lp, cs","-","-","-","-","-","-","-","-","-","-",""
"a sense of place","released: march 1990 label: island formats: cd, lp, cs","-","-","-","-","-","-","54","-","-","170",""
"cross country blues","released: 1992 label: one way format: cd","-","-","-","-","-","-","54","-","-","170",""
"wake up call","released: 6 april 1993 label: silvertone formats: cd, lp, cs","61","-","-","-","-","-","73","-","-","-",""
"spinning coin","released: 28 february 1995 label: silvertone formats: cd, lp, cs","-","-","-","-","-","-","-","-","-","-",""
"blues for the lost days","released: 15 april 1997 label: silvertone format: cd","185","-","-","-","-","-","-","-","-","-",""
"padlock on the blues","released: 19 april 1999 label: eagle format: cd","-","-","-","-","-","-","-","-","-","-",""
"along for the ride","released: 8 may 2001 label: eagle format: cd","143","-","-","-","-","88","-","-","90","-",""
"stories","released: 27 august 2002 label: eagle format: cd","-","-","-","-","-","-","-","-","-","-",""
"road dogs","released: 6 june 2005 label: eagle format: cd","-","-","-","-","187","-","-","-","-","-",""
"in the palace of the king","released: 5 march 2007 label: eagle format: cd","-","-","-","-","168","-","-","-","-","-",""
"tough","released: 15 september 2009 label: eagle formats: cd, lp, dl","-","-","-","-","140","-","-","-","-","-",""
"a special life","released: 13 may 2014 label: forty below formats: cd, lp, dl","-","185","-","-","-","-","-","-","-","-",""
"find a way to care","released: 4 september 2015 label: forty below formats: cd, lp, dl","-","82","125","-","-","-","41","-","86","-",""
"talk about that","released: 27 january 2017 label: forty below formats: cd, lp, dl","-","74","166","-","-","-","-","-","84","-",""
"nobody told me","released: 22 february 2019 label: forty below formats: cd, lp, dl","-","69","76","-","195","28","88","-","16","-",""
""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region",""-" denotes a release that did not chart or was not issued in that region"
