"selected characteristics","on-road vehicle","on-road vehicle","off-road vehicle","off-road vehicle","all types of motor vehicles","all types of motor vehicles"
"selected characteristics","number","percent","number","percent","number","percent"
"sex","","","","","",""
"male","483,438","7.5","166,899","7.4","579,682","8.8"
"female","46,904","0.8","16,164","1.1","60,721","1.0"
"age group","","","","","",""
"15 to 17 years","f","f","f","f","f","f"
"18 to 24 years","71,788","5.3","31,577","6.2","95,466","6.8"
"25 to 34 years","134,081","6.4","58,864","8.1","166,482","7.8"
"35 to 44 years","84,856","3.7","33,868","4.9","101,548","4.4"
"45 to 54 years","103,795","4.6","27,539","4.1","124,368","5.5"
"55 to 64 years","82,578","3.7","20,023","3.5","93,074","4.2"
"65 years and older","50,996","2.7","6,997","2.3","54,709","2.9"
"marital status","","","","","",""
"married","225,654","3.3","83,665","4.2","269,694","3.9"
"common-law","81,881","7.7","37,026","9.2","109,432","10.0"
"widowed","12,615","2.9","x","x","13,005","2.9"
"separated or divorced","46,579","5.1","6,437","3.7","49,315","5.3"
"single","163,443","5.3","55,501","4.9","198,789","6.1"
"level of education","","","","","",""
"less than high school","34,183","2.5","23,044","4.4","49,685","3.3"
"high school diploma","149,335","4.6","66,779","7.1","189,553","5.7"
"trade certificate or diploma","89,093","10.4","22,073","7.0","100,046","11.6"
"college diploma","126,702","4.2","43,134","4.8","152,109","5.1"
"undergraduate university degree","101,499","3.7","21,957","3.0","116,605","4.2"
"graduate degree","28,064","2.6","f","f","30,450","2.8"
"household income quintile","","","","","",""
"bottom quintile","38,863","2.2","16,573","4.7","49,447","2.7"
"second quintile","54,556","2.3","19,328","4.2","68,535","2.9"
"third quintile","98,725","3.9","29,226","4.2","120,677","4.7"
"fourth quintile","156,952","5.5","50,909","5.4","183,862","6.4"
"top quintile","178,622","6.1","65,990","5.2","214,654","7.3"
"aboriginal identity","","","","","",""
"non-aboriginal","505,506","4.3","168,473","4.8","607,744","5.0"
"aboriginal","21,187","4.8","13,227","7.0","28,384","6.1"
"total population","530,342","4.3","183,063","4.9","640,404","5.0"
