"type of correctional supervision","total-reporting jurisdictions","total-reporting jurisdictions","total-reporting jurisdictions"
"type of correctional supervision","number","percent","percent change in the number from 2015/2016"
"custody","53,026","55","-2"
"remand","39,964","41","-1"
"sentenced custody","6,327","7","-6"
"intermittent sentences","3,221","3","1"
"other temporary detention","3,514","4","-5"
"community supervision","44,018","45","6"
"probation","26,211","27","4"
"conditional sentences","4,686","5","4"
"bail supervision","11,513","12","-4"
"other community supervision","1,608","2",".."
"total correctional services","97,044","100","1"
