"","19 to 49 years","19 to 49 years","19 to 49 years","50 to 69 years","50 to 69 years","50 to 69 years","70 years and older","70 years and older","70 years and older"
"","linked cctlp tumour cohort","tumours with one or more surgical intervention","tumours with one or more surgical intervention","linked cctlp tumour cohort","tumours with one or more surgical intervention","tumours with one or more surgical intervention","linked cctlp tumour cohort","tumours with one or more surgical intervention","tumours with one or more surgical intervention"
"","number","number","percent","number","number","percent","number","number","percent"
"canada","3,235","2,710","83.7","18,750","16,305","87.0","21,270","17,415","81.9"
"newfoundland and labrador","110","100","88.9","675","625","92.6","685","565","82.3"
"prince edward island","15","10","75.0","110","100","91.1","160","130","80.7"
"nova scotia","120","100","84.9","990","875","88.6","1,110","905","81.4"
"new brunswick","10","90","87.1","670","575","86.1","720","590","82.0"
"ontario","1,630","1,320","81.0","8,900","7,470","83.9","10,240","8,250","80.6"
"manitoba","165","135","81.8","960","840","87.2","1,140","910","79.9"
"saskatchewan","130","110","86.2","860","770","89.3","970","815","83.9"
"alberta","430","370","86.0","2,285","2,040","89.4","2,275","1,835","80.7"
"british columbia","520","460","88.1","3,210","2,935","91.3","3,940","3,385","86.0"
"yukon","x","x","100.0","30","25","85.7","x","x","85.7"
"northwest territories","10","10","87.5","50","40","84.8","20","15","82.4"
"nunavut","x","x","100.0","15","15","87.5","x","x","85.7"
