"","share of immigrants","share of immigrants","estimated population","estimated population","estimated population","estimated population"
"","childhood immigrants","adult immigrants","all","canadian-born","childhood immigrants","adult immigrants"
"","percent","percent","counts","counts","counts","counts"
"all university graduates","","","","","",""
"non-stem fields","7.8","24.0","3,976.9","2,713.1","309.0","954.9"
"stem fields","9.4","44.2","1,259.2","584.6","117.8","556.8"
"science and technology","10.1","31.0","471.0","277.6","47.5","145.8"
"engineering","8.0","53.0","525.9","205.1","42.1","278.7"
"computer science and mathematics","10.7","50.4","262.3","101.8","28.2","132.3"
"total","8.1","28.9","5,236.1","3,297.7","426.7","1,511.7"
"bachelor's degree","","","","","",""
"non-stem fields","7.9","21.1","2,662.7","1,891.8","209.8","561.1"
"stem fields","10.7","37.8","839.3","432.4","89.8","317.1"
"science and technology","11.5","25.0","290.6","184.7","33.4","72.5"
"engineering","8.9","46.2","364.6","163.7","32.5","168.4"
"computer science and mathematics","13.0","41.4","184.1","84.0","23.9","76.2"
"total","8.6","25.1","3,502.0","2,324.2","299.6","878.2"
"master's degree","","","","","",""
"non-stem fields","7.6","29.6","1,228.0","770.8","93.2","364.0"
"stem fields","6.8","56.9","339.8","123.3","23.2","193.3"
"science and technology","8.2","37.2","131.2","71.6","10.8","48.7"
"engineering","6.1","67.8","139.3","36.3","8.5","94.4"
"computer science and mathematics","5.5","72.3","69.3","15.4","3.8","50.1"
"total","7.4","35.5","1,567.8","894.2","116.3","557.3"
"doctorate","","","","","",""
"non-stem fields","7.0","34.5","86.2","50.4","6.0","29.7"
"stem fields","6.0","58.0","80.1","28.8","4.8","46.5"
"science and technology","6.7","49.9","49.2","21.3","3.3","24.6"
"engineering","4.9","71.9","22.0","5.1","1.1","15.9"
"computer science and mathematics","5.0","67.9","8.9","2.4","0.4","6.0"
"total","6.5","45.8","166.3","79.3","10.9","76.2"
