"impacts of incidents","male victims","female victims","all victims"
"impacts of incidents","percent","percent","percent"
"avoided or wanted to avoid specific people at work","","",""
"never","60","26","47"
"sometimes","26","40","31"
"always","14","34","22"
"negative impacts on personal or social life","","",""
"never","75","39","60"
"sometimes","19","36","25"
"always","7","25","14"
"stayed or wanted to stay away from specific locations on the base, wing, or formation","","",""
"never","75","47","64"
"sometimes","19","31","23"
"always","7","22","13"
"stayed or wanted to stay away from the gym on the base, wing, or formation","","",""
"never","85","73","79"
"sometimes","11","15","13"
"always","4","12","8"
"avoided or wanted to avoid the mess","","",""
"never","78","56","69"
"sometimes","14","27","19"
"always","7","17","12"
"missed work or worked fewer hours","","",""
"never","86","76","82"
"sometimes","10","15","12"
"always","f","9","6"
"avoided optional work-related social functions","","",""
"never","72","51","64"
"sometimes","22","26","23"
"always","6","22","13"
"negative emotional impacts","","",""
"never","67","34","53"
"sometimes","26","38","30"
"always","8","29","17"
"difficulty sleeping","","",""
"never","80","56","70"
"sometimes","14","22","17"
"always","6","22","13"
"loss of trust in chain of command","","",""
"never","76","62","70"
"sometimes","15","21","17"
"always","9","17","13"
"loss of trust in unit","","",""
"never","77","61","71"
"sometimes","14","19","15"
"always","9","20","14"
"overall impact","","",""
"never experienced any of these impacts","48","12","34"
"stated 'sometimes' for at least one of these impacts","29","40","33"
"stated 'always' for at least one of these impacts","23","48","33"
