"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"lanceros boyaca","1999","categoria primera b","1","0","-","-","-","-","-","-","-","-","1","0"
"lanceros boyaca","2000","categoria primera b","7","1","-","-","-","-","-","-","-","-","7","1"
"lanceros boyaca","total","total","8","1","-","-","-","-","-","-","-","-","8","1"
"river plate","2004-05","argentine primera division","4","0","-","-","-","-","0","0","4","0","none","none"
"river plate","2005-06","argentine primera division","7","7","-","-","-","-","0","0","7","7","none","none"
"river plate","2006-07","argentine primera division","20","3","-","-","-","-","3","0","23","3","none","none"
"river plate","2007-08","argentine primera division","27","11","-","-","-","-","12","8","39","19","none","none"
"river plate","2008-09","argentine primera division","32","13","-","-","-","-","6","3","38","16","none","none"
"river plate","total","total","90","34","-","-","-","-","21","11","111","45","none","none"
"porto","2009-10","primeira liga","28","25","5","5","2","0","8","4","0","0","43","34"
"porto","2010-11","primeira liga","25","16","3","3","0","0","16","18","1","1","44","38"
"porto","total","total","51","41","8","8","2","0","24","22","2","1","87","72"
"atletico madrid","2011-12","la liga","34","24","1","0","-","-","15","12","-","-","50","36"
"atletico madrid","2012-13","la liga","34","28","4","2","-","-","2","1","1","3","41","34"
"atletico madrid","total","total","68","52","5","2","-","-","17","13","1","3","91","70"
"monaco","2013-14","ligue 1","17","9","2","2","0","0","-","-","19","11","none","none"
"monaco","2014-15","ligue 1","3","2","0","0","0","0","-","-","3","2","none","none"
"monaco","2016-17","ligue 1","29","21","2","1","2","1","10","7","-","-","43","30"
"monaco","2017-18","ligue 1","26","18","1","0","3","3","5","3","1","0","36","24"
"monaco","2018-19","ligue 1","25","12","1","1","0","0","5","0","-","-","31","13"
"monaco","total","total","100","62","6","4","5","4","20","10","1","0","132","80"
"manchester united","2014-15","premier league","26","4","3","0","0","0","-","-","29","4","none","none"
"chelsea","2015-16","premier league","10","1","0","0","1","0","0","0","1","0","12","1"
"career total","career total","career total","353","195","22","14","8","4","82","56","5","4","470","273"
