"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"santos","2002","serie a","28","10","3","1","-","-","11","2","42","13"
"santos","2003","serie a","33","9","-","-","18","4","6","1","57","14"
"santos","2004","serie a","9","4","-","-","9","4","10","0","28","8"
"santos","total","total","70","23","3","1","27","8","27","3","127","35"
"porto","2004-05","primeira liga","30","3","1","0","6","1","2","0","39","4"
"porto","2005-06","primeira liga","18","1","2","1","4","1","-","-","24","3"
"porto","total","total","48","4","3","1","10","2","2","0","63","7"
"werder bremen","2006-07","bundesliga","33","13","3","0","14","2","-","-","50","15"
"werder bremen","2007-08","bundesliga","30","13","3","1","10","4","-","-","43","18"
"werder bremen","2008-09","bundesliga","21","12","5","2","13","7","-","-","39","21"
"werder bremen","total","total","84","38","11","3","37","13","-","-","132","54"
"juventus","2009-10","serie a","33","5","2","2","9","0","-","-","44","7"
"juventus","2010-11","serie a","0","0","0","0","3","0","-","-","3","0"
"juventus","total","total","33","5","2","2","12","0","-","-","47","7"
"vfl wolfsburg","2010-11","bundesliga","30","6","2","0","-","-","32","6","none","none"
"vfl wolfsburg","total","total","30","6","2","0","-","-","32","6","none","none"
"atletico madrid","2011-12","la liga","30","3","1","0","12","3","-","-","43","6"
"atletico madrid","total","total","30","3","1","0","12","3","-","-","43","6"
"vfl wolfsburg","2012-13","bundesliga","32","10","5","3","-","-","37","13","none","none"
"vfl wolfsburg","2013-14","bundesliga","15","3","3","2","-","-","18","5","none","none"
"vfl wolfsburg","total","total","47","13","8","4","-","-","55","18","none","none"
"atletico madrid","2013-14","la liga","13","1","2","0","4","1","-","-","19","2"
"atletico madrid","total","total","13","1","2","0","4","1","-","-","19","2"
"fenerbahce","2014-15","super lig","25","3","5","2","-","-","30","5","none","none"
"fenerbahce","2015-16","super lig","28","2","7","1","10","0","-","-","45","3"
"fenerbahce","total","total","53","5","12","3","10","0","-","-","75","8"
"flamengo","2016","serie a","17","6","0","0","1","0","-","-","18","6"
"flamengo","2017","serie a","27","10","6","1","11","3","9","4","53","18"
"flamengo","2018","serie a","26","6","2","0","7","0","9","2","46","8"
"flamengo","2019","serie a","0","0","0","0","0","0","3","2","3","2"
"flamengo","total","total","70","22","8","1","19","3","21","8","120","34"
"career total","career total","career total","465","117","53","15","128","29","39","7","681","169"
