"year and country of birth","economic","economic","family reunification","family reunification","refugees","refugees","total","total"
"year and country of birth","number","percent","number","percent","number","percent","number","percent"
"2012","","","","","","","",""
"china","20,998","60.4","12,043","34.6","1,730","5.0","34,771","100.0"
"philippines","28,371","83.0","5,496","16.1","295","0.9","34,169","100.0"
"india","18,923","61.8","11,054","36.1","662","2.2","30,642","100.0"
"pakistan","6,738","63.3","3,052","28.7","853","8.0","10,647","100.0"
"islamic republic of iran","5,704","75.8","949","12.6","871","11.6","7,524","100.0"
"united states","3,070","42.1","2,983","40.9","1,242","17.0","7,297","100.0"
"france","5,287","89.7","523","8.9","83","1.4","5,895","100.0"
"haiti","2,769","47.0","872","14.8","2,248","38.2","5,891","100.0"
"south korea","4,307","81.1","832","15.7","170","3.2","5,311","100.0"
"united kingdom","3,727","71.1","1,358","25.9","152","2.9","5,242","100.0"
"2013","","","","","","","",""
"china","17,252","48.1","17,162","47.9","1,415","3.9","35,831","100.0"
"india","19,384","59.0","12,895","39.3","538","1.6","32,828","100.0"
"philippines","23,995","81.8","5,166","17.6","186","0.6","29,347","100.0"
"pakistan","8,691","72.0","2,285","18.9","1,092","9.0","12,070","100.0"
"islamic republic of iran","7,723","68.7","2,496","22.2","1,015","9.0","11,234","100.0"
"united states","2,998","39.7","3,475","46.1","1,066","14.1","7,546","100.0"
"france","4,435","85.0","688","13.2","91","1.7","5,218","100.0"
"united kingdom","3,099","63.9","1,621","33.4","130","2.7","4,851","100.0"
"iraq","1,082","22.8","234","4.9","3,423","72.2","4,739","100.0"
"south korea","3,635","80.7","767","17.0","105","2.3","4,507","100.0"
"2014","","","","","","","",""
"philippines","34,521","86.6","5,128","12.9","200","0.5","39,851","100.0"
"india","26,707","69.6","10,949","28.5","706","1.8","38,364","100.0"
"china","16,749","64.3","8,239","31.6","1,062","4.1","26,051","100.0"
"islamic republic of iran","13,349","79.8","1,903","11.4","1,477","8.8","16,729","100.0"
"pakistan","5,465","63.9","1,925","22.5","1,164","13.6","8,558","100.0"
"united states","3,614","47.9","3,087","40.9","841","11.1","7,544","100.0"
"united kingdom","3,594","71.7","1,304","26.0","114","2.3","5,012","100.0"
"south korea","3,656","81.4","732","16.3","102","2.3","4,490","100.0"
"mexico","1,902","42.8","1,382","31.1","1,154","26.0","4,440","100.0"
"france","3,691","83.8","647","14.7","69","1.6","4,407","100.0"
