"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"estudiantes","2015","primera division","3","0","0","0","-","-","0","0","0","0","3","0"
"estudiantes","2016","primera division","0","0","0","0","-","-","0","0","0","0","0","0"
"estudiantes","2016-17","primera division","0","0","0","0","-","-","0","0","0","0","0","0"
"estudiantes","2017-18","primera division","0","0","0","0","-","-","0","0","0","0","0","0"
"estudiantes","2018-19","primera division","0","0","0","0","-","-","0","0","0","0","0","0"
"estudiantes","total","total","3","0","0","0","-","-","0","0","0","0","3","0"
"temperley","2016-17","primera division","15","0","1","1","-","-","0","0","16","1","none","none"
"temperley","2017-18","primera division","19","2","1","0","-","-","0","0","20","2","none","none"
"temperley","total","total","34","2","2","1","-","-","0","0","36","3","none","none"
"aldosivi","2018-19","primera division","0","0","1","0","-","-","0","0","1","0","none","none"
"career total","career total","career total","37","2","3","1","-","-","0","0","0","0","40","3"
