"","spouse-pair income","individual income","employment","hours worked","hourly wage"
"","dollars","dollars","percentage points","hours","dollars"
"individual health","","","","",""
"self-reported general health","","","","",""
"good/very good/excellent","..","..","..","..",".."
"fair/poor","-11,800","-13,800","-19.7","0.5","1.1"
"self-reported mental health","","","","",""
"good/very good/excellent","..","..","..","..",".."
"fair/poor","-18,900","-15,100","-10.3","-2.8","-2.7"
"spousal health","","","","",""
"self-reported general health","","","","",""
"good/very good/excellent","..","..","..","..",".."
"fair/poor","-28,200","-13,000","-1.8","0.0","-4.9"
"self-reported mental health","","","","",""
"good/very good/excellent","..","..","..","..",".."
"fair/poor","-10,600","-2,300","1.3","-0.5","-1.3"
"n. obs","2,820","2,820","2,820","2,336","2,336"
