"club","season","league","league","cup","cup","europe/other1","europe/other1","total","total"
"club","season","apps","goals","apps","goals","apps","goals","apps","goals"
"real madrid castilla","2005-06","4","0","0","0","-","-","4","0"
"real madrid castilla","2006-07","1","0","0","0","-","-","1","0"
"real madrid castilla","total","5","0","0","0","-","-","5","0"
"espanyol b","2007-08","25","0","0","0","-","-","25","0"
"espanyol","2007-08","4","0","0","0","-","-","4","0"
"cadiz","2008-09","35","0","0","0","-","-","35","0"
"cadiz","2009-10","31","0","0","0","-","-","31","0"
"cadiz","total","66","0","0","0","-","-","66","0"
"cartagena","2010-11","35","0","0","0","-","-","35","0"
"espanyol","2011-12","16","0","5","0","-","-","21","0"
"espanyol","2012-13","21","0","2","0","-","-","23","0"
"espanyol","2013-14","37","0","4","0","-","-","41","0"
"espanyol","2014-15","37","0","0","0","-","-","37","0"
"espanyol","total","115","0","11","0","-","-","126","0"
"real madrid","2015-16","4","0","1","0","2","0","7","0"
"real madrid","2016-17","11","0","6","0","2","0","19","0"
"real madrid","2017-18","10","0","5","0","2","0","17","0"
"real madrid","2018-19","0","0","0","0","0","0","0","0"
"real madrid","total","25","0","12","0","6","0","43","0"
"leeds united","2018-19","9","0","0","0","-","-","9","0"
"career total","career total","284","0","23","0","6","0","313","0"
