"type of offence","females","females","females","males","males","males"
"type of offence","number of total cases","number found guilty","percent found guilty","number of total cases","number found guilty","percent found guilty"
"crimes against the person","13,316","5,280","40","61,108","31,755","52"
"homicide","31","12","39","172","84","49"
"attempted murder","19","4","21","158","27","17"
"robbery","379","189","50","2,701","1,663","62"
"sexual assault","40","18","45","2,564","1,138","44"
"other sexual offences","85","40","47","3,269","1,929","59"
"major assault","3,739","1,655","44","13,062","7,241","55"
"common assault","6,446","2,338","36","21,759","10,698","49"
"uttering threats","1,829","796","44","12,597","6,818","54"
"criminal harassment","392","100","26","2,531","1,272","50"
"other crimes against the person","356","128","36","2,295","885","39"
"crimes against property","20,988","10,385","49","54,902","35,619","65"
"theft","11,390","5,900","52","21,796","14,884","68"
"break and enter","1,115","603","54","7,601","5,473","72"
"fraud","3,438","2,108","61","7,234","4,851","67"
"mischief","2,066","872","42","9,591","5,325","56"
"possession of stolen property","2,799","807","29","7,398","4,130","56"
"other property crimes","180","95","53","1,282","956","75"
