"year","song","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","album"
"year","song","icl","bel (fl) tip","can","den","ger","irl","uk","album"
"1999","svefn-g-englar","-","-","-","-","-","-","146","agætis byrjun"
"2000","ny batteri","-","-","-","-","-","-","133","agætis byrjun"
"2003","untitled #1","-","-","4","20","98","31","72","( )"
"2005","glosoli","1","-","-","-","-","-","-","takk.."
"2005","hoppipolla","-","-","-","-","-","-","24","takk.."
"2006","sæglopur","-","-","-","-","-","-","-","takk.."
"2007","hljomalind","-","-","-","-","-","-","91","hvarf/heim"
"2008","gobbledigook","9","19","-","-","-","-","-","með suð i eyrum við spilum endalaust"
"2008","inni mer syngur vitleysingur","8","16","-","-","-","-","152","með suð i eyrum við spilum endalaust"
"2009","við spilum endalaust","-","4","-","-","-","-","-","með suð i eyrum við spilum endalaust"
"2012","ekki mukk","-","-","-","-","-","-","-","valtari"
"2012","varuð","-","82","-","-","-","-","-","valtari"
"2013","brennisteinn","14","-","-","-","-","-","-","kveikur"
"2013","isjaki","12","36","-","-","-","-","-","kveikur"
"2016","oveður","-","-","-","-","-","-","-","non-album single"
"2017","a","-","-","-","-","-","-","-","non-album single"
""-" denotes a title that was not released or did not chart in that territory",""-" denotes a title that was not released or did not chart in that territory",""-" denotes a title that was not released or did not chart in that territory",""-" denotes a title that was not released or did not chart in that territory",""-" denotes a title that was not released or did not chart in that territory",""-" denotes a title that was not released or did not chart in that territory",""-" denotes a title that was not released or did not chart in that territory",""-" denotes a title that was not released or did not chart in that territory",""-" denotes a title that was not released or did not chart in that territory",""-" denotes a title that was not released or did not chart in that territory"
