"","three-year average foreign share","percentage change between the three-year averages","average annual growth rate"
"","percent","percent","percent"
"1973 to 1975","50.8","..",".."
"1984 to 1986","46.5","..",".."
"1997 to 1999","50.7","..",".."
"2009 to 2011","44.6","..",".."
"between the 1973-to-1975 and 1984-to-1986 periods","..","-8.4","-0.8"
"between the 1984-to-1986 and 1997-to-1999 periods","..","8.9","0.7"
"between the 1973-to-1975 and 1997-to-1999 periods","..","-0.2","0.0"
"between the 1997-to-1999 and 2009-to-2011 periods","..","-12.1","-1.0"
"between the 1973-to-1975 and 2009-to-2011 periods","..","-12.3","-0.3"
