"club","season","league","league","league","national cup","national cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals"
"rangers","1925-26","scottish first division","2","0","0","0","2","0"
"brentford","1927-28","third division south","19","1","1","0","20","1"
"brentford","1928-29","third division south","3","0","2","0","5","0"
"brentford","1929-30","third division south","8","0","0","0","8","0"
"brentford","1930-31","third division south","19","0","0","0","19","0"
"brentford","1931-32","third division south","29","0","3","0","32","0"
"brentford","1932-33","third division south","25","0","0","0","25","0"
"brentford","1933-34","second division","15","0","1","0","16","0"
"brentford","total","total","118","1","7","0","125","1"
"career total","career total","career total","120","1","7","0","127","1"
