"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"banfield","2015","argentine primera division","1","0","0","0","-","-","0","0","1","0"
"banfield","2016","argentine primera division","8","0","1","0","-","-","0","0","9","0"
"banfield","2016-17","argentine primera division","12","0","0","0","0","0","0","0","12","0"
"banfield","total","total","21","0","1","0","0","0","0","0","22","0"
"genoa","2017-18","serie a","0","0","1","0","-","-","0","0","1","0"
"genoa","2018-19","serie a","0","0","0","0","-","-","0","0","0","0"
"genoa","total","total","0","0","1","0","-","-","0","0","1","0"
"vitoria setubal","2017-18","primeira liga","0","0","-","-","0","0","0","0","none","none"
"union la calera","2018","chilean primera division","8","1","0","0","-","-","0","0","8","1"
"union la calera","2019","chilean primera division","9","1","0","0","1","0","0","0","10","1"
"union la calera","total","total","17","2","0","0","1","0","0","0","18","2"
"career total","career total","career total","38","2","2","0","1","0","0","0","41","2"
