"characteristic","total","no certification or license","no certification or license","at least one certification or license","at least one certification or license"
"characteristic","total","number","percent","number","percent"
"all college graduates","58006000","35403000","61","22603000","39"
"highest degree of educational attainment","","","","",""
"bachelor's","36530000","25154000","68.9","11376000","31.1"
"master's","16207000","8413000","51.9","7794000","48.1"
"doctorate","2003000","1405000","70.1","598000","29.9"
"professional","3266000","431000","13.2","2835000","86.8"
"labor force status","labor force status","labor force status","labor force status","labor force status","labor force status"
"employed","45941000","26258000","57.2","19683000","42.8"
"full time","38469000","21894000","56.9","16575000","43.1"
"part time","7472000","4365000","58.4","3108000","41.6"
"unemployed","1689000","1287000","76.2","402000","23.8"
"not in labor force","10375000","7858000","75.7","2518000","24.3"
