"characteristic","fy 2015","fy 2016","% change"
"all r&d and r&d plant expenditures","2282136","2342383","2.6"
"all r&d plant expenditures","34896","25257","-27.6"
"all r&d expenditures","2247240","2317126","3.1"
"source of funds","","",""
"federal government","482540","509519","5.6"
"state government and other nonfederal sources","1764700","1807607","2.4"
"performer","","",""
"intramurala","585026","635546","8.6"
"extramural","1662214","1681580","1.2"
"academic institutions","915042","868260","-5.1"
"companies and individuals","448394","481871","7.5"
"other","298778","331449","10.9"
"intramural by type of r&d","","",""
"basic research","110327","89951","-18.5"
"applied research","461695","531509","15.1"
"experimental development","13003","14087","8.3"
"r&d project by government function","","",""
"agriculture","102116","109191","6.9"
"energy","383146","368028","-3.9"
"environment and natural resources","416121","437315","5.1"
"health","936278","964865","3.1"
"transportation","246570","264596","7.3"
"otherb","163009","173130","6.2"
