"party","constituency","constituency","constituency","national","national","national","total seats","+/-"
"party","votes","%","seats","votes","%","seats","total seats","+/-"
"new azerbaijan party","none","none","59","1,809,801","62.3","16","75","+16"
"independents","none","none","30","-","-","-","30","-22"
"azerbaijan popular front party","none","none","2","313,059","11.0","4","6","+2"
"civic solidarity party","none","none","0","182,777","6.4","3","3","new"
"azerbaijan communist party","none","none","0","182,029","6.3","2","2","new"
"musavat","none","none","2","none","4.9","0","2","+1"
"azerbaijan national independence party","none","none","2","none","3.9","0","2","-1"
"azerbaijan liberal party","none","none","0","none","1.3","0","0","new"
"azerbaijan democratic party","none","none","0","none","1.1","0","0","new"
"alliance party for the sake of azerbaijan","none","none","1","none","1.0","0","1","+1"
"azerbaijan social prosperity party","none","none","1","-","-","-","1","new"
"motherland party","none","none","1","-","-","-","1","0"
"compatriot party","none","none","1","-","-","-","1","new"
"national congress party","none","none","0","none","0.5","0","0","new"
"azerbaijan democratic bloc","none","none","0","none","0.4","0","0","new"
"azerbaijan people's democratic party","none","none","0","none","0.3","0","0","new"
"democratic party of the azerbaijan world","none","none","0","none","0.3","0","0","new"
"none of the above","none","none","-","none","0.5","-","-","-"
"total","none","none","100","2,883,819","100","25","125","0"
"source: nohlen et al., ipu","source: nohlen et al., ipu","source: nohlen et al., ipu","source: nohlen et al., ipu","source: nohlen et al., ipu","source: nohlen et al., ipu","source: nohlen et al., ipu","source: nohlen et al., ipu","source: nohlen et al., ipu"
