"","aboriginal population","non-aboriginal population","difference"
"","percent","percent","percentage points"
"public sector employees","27.4","22.4","5.0"
"private sector employees","61.8","63.0","-1.2"
"self-employed","10.8","14.7","-3.9"
"multiple jobholders","5.7","5.4","0.3"
"employment part-time","13.3","11.9","1.4"
"covered by a union or collective agreement","32.5","28.5","4.0"
"temporary","13.7","9.7","4.0"
"","hours","hours","hours"
"average usual weekly hours","37.5","37.2","0.3"
"","months","months","months"
"average job tenure","82.3","94.6","-12.3"
"","dollars","dollars","dollars"
"average hourly wage","26.00","27.41","-1.41"
"0 to 8 years","18.63","19.32","-0.69"
"some high school","22.67","21.28","1.39"
"high school graduate","23.83","23.50","0.33"
"some postsecondary school","23.05","24.37","-1.32"
"postsecondary certificate/diploma","27.41","26.95","0.46"
"university degree","33.69","33.36","0.33"
