"","including fruit juice","including fruit juice","including fruit juice","excluding fruit juice","excluding fruit juice","excluding fruit juice"
"","adjusted odds ratio","95% confidence interval","95% confidence interval","adjusted odds ratio","95% confidence interval","95% confidence interval"
"","adjusted odds ratio","from","to","adjusted odds ratio","from","to"
"sex","","","","","",""
"male","1.0","..","..","1.0","..",".."
"female","1.7","1.6","1.8","1.8","1.7","1.9"
"age group","","","","","",""
"12 to 18","1.0","..","..","1.0","..",".."
"19 to 50","0.5","0.5","0.6","0.4","0.4","0.5"
"51 or older","0.5","0.5","0.6","0.4","0.4","0.5"
"household income quintile","","","","","",""
"lowest","1.0","..","..","1.0","..",".."
"low-middle","0.9","0.8","1.0","0.7","0.6","0.8"
"middle","1.0","0.9","1.1","0.8","0.7","0.9"
"high-middle","1.0","1.0","1.2","0.8","0.8","0.9"
"highest","1.2","1.1","1.4","1.0","1.0","1.1"
"bmi","","","","","",""
"neither overweight nor obese","1.0","..","..","1.0","..",".."
"overweight","0.9","0.8","1.0","0.9","0.8","0.9"
"obese","0.7","0.6","0.8","0.7","0.6","0.8"
