"club","season","league","league","league","fa cup","fa cup","efl cup","efl cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"scunthorpe united","2012-13","league one","9","1","0","0","0","0","0","0","9","1"
"mansfield town","2013-14","league two","1","0","0","0","0","0","0","0","1","0"
"forest green rovers","2013-14","conference premier","2","0","0","0","-","-","4","0","6","0"
"scunthorpe united","2013-14","league two","1","0","0","0","0","0","0","0","1","0"
"accrington stanley","2014-15","league two","2","0","0","0","1","0","0","0","3","0"
"ipswich town","2015-16","championship","0","0","0","0","1","1","0","0","1","1"
"grimsby town","2015-16","national league","2","0","1","0","-","-","2","2","5","2"
"chester","2015-16","national league","16","6","0","0","-","-","0","0","16","6"
"chester","2016-17","national league","42","17","1","0","-","-","3","1","46","18"
"chester","total","total","58","23","1","0","-","-","3","1","62","24"
"tranmere rovers","2017-18","national league","9","0","0","0","-","-","0","0","9","0"
"dover athletic","2017-18","national league","11","1","1","0","-","-","1","0","13","1"
"leyton orient","2018-19","national league","26","2","1","0","-","-","4","0","31","2"
"career total","career total","career total","121","27","4","0","2","1","14","3","141","31"
