"year","title","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","certifications","album"
"year","title","uk","uk r&b","aus","aut","bel","fra","ire","ned","sco","swe","certifications","album"
"1992","farewell my summer love","55","-","-","-","-","-","-","-","-","-","none","non-album single"
"1994","some girls","9","3","-","-","-","-","22","-","17","-","none","ultimate kaos"
"1995","hoochie booty","17","6","-","-","-","-","13","-","29","-","none","ultimate kaos"
"1995","show a little love","23","4","-","-","-","-","23","-","31","-","none","ultimate kaos"
"1995","right here","18","6","-","-","-","-","-","-","29","-","none","ultimate kaos"
"1997","casanova","24","6","-","-","-","4","-","-","37","-","fra: gold","the kaos theory"
"1998","casanova","29","6","18","20","6","-","-","2","40","19","aus: gold","the kaos theory"
"1998","my lover","-","-","-","-","28","40","-","10","-","-","none","the kaos theory"
"1999","anything you want","52","-","20","-","-","-","-","57","63","-","none","the kaos theory"
""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory"
