"club","season","league","league","league","cup","cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"honved","2008-09","nemzeti bajnoksag i","?","5","0","0","-","-","-","-","?","5"
"honved","2009-10","nemzeti bajnoksag i","21","4","3","1","-","-","1","0","25","5"
"honved","total","total","21","9","4","1","0","0","1","0","25","10"
"honved ii","2010-11","nemzeti bajnoksag ii","1","0","-","-","-","-","-","-","1","0"
"tours","2010-11","ligue 2","27","4","0","0","-","-","-","-","27","4"
"tours","2011-12","ligue 2","32","9","2","0","2","0","-","-","36","9"
"tours","2012-13","ligue 2","5","0","0","0","1","0","-","-","6","0"
"tours","total","total","64","13","2","0","3","0","0","0","69","13"
"reims","2012-13","ligue 1","29","4","1","0","-","-","-","-","30","4"
"reims","2013-14","ligue 1","7","1","0","0","-","-","-","-","7","1"
"reims","2014-15","ligue 1","31","5","1","1","1","0","-","-","33","6"
"reims","2015-16","ligue 1","23","3","1","0","1","0","-","-","25","3"
"reims","2016-17","ligue 2","32","4","1","0","-","-","-","-","33","4"
"reims","2017-18","ligue 2","34","9","0","0","1","0","-","-","35","9"
"reims","total","total","156","26","4","1","3","0","0","0","163","27"
"reims ii","2013-14","championnat de france amateur 2","2","0","-","-","-","-","-","-","2","0"
"career total","career total","career total","244","48","9","2","6","0","1","0","261","50"
