"club","season","league","league","league","national cup","national cup","league cup","league cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"estrela amadora","2007-08","primeira liga","26","1","3","0","2","0","-","-","31","1","none","none"
"estrela amadora","total","total","26","1","3","0","2","0","-","-","31","1","none","none"
"porto","2008-09","primeira liga","25","0","4","0","1","0","10","0","0","0","40","0"
"porto","2009-10","primeira liga","25","0","6","0","1","0","6","0","1","0","39","0"
"porto","2010-11","primeira liga","21","0","4","0","1","1","14","1","1","0","41","2"
"porto","2011-12","primeira liga","22","1","1","0","2","0","8","0","1","0","34","1"
"porto","2012-13","primeira liga","24","1","1","0","5","1","6","0","1","0","37","2"
"porto","2013-14","primeira liga","25","0","4","1","4","0","11","0","1","0","45","1"
"porto","total","total","142","2","20","1","14","2","55","1","5","0","236","6"
"manchester city","2014-15","premier league","25","2","2","0","0","0","5","0","1","0","33","2"
"manchester city","2015-16","premier league","24","2","3","0","5","0","10","0","-","-","42","2"
"manchester city","2016-17","premier league","15","0","4","0","2","0","6","0","-","-","27","0"
"manchester city","total","total","64","4","9","0","7","0","21","0","1","0","102","4"
"galatasaray","2017-18","super lig","25","2","1","0","-","-","0","0","-","-","26","2"
"galatasaray","2018-19","super lig","15","1","0","0","-","-","4","0","1","0","20","1"
"galatasaray","total","total","40","3","1","0","-","-","4","0","1","0","46","3"
"career total","career total","career total","272","10","33","1","23","2","80","1","7","0","415","14"
