"club","season","league","league","league","fa cup","fa cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals"
"wolverhampton wanderers","1895-96","first division","2","0","0","0","2","0"
"wolverhampton wanderers","1896-97","first division","19","7","2","0","21","7"
"wolverhampton wanderers","1897-98","first division","29","4","2","0","31","4"
"wolverhampton wanderers","1898-99","first division","33","12","3","0","36","12"
"wolverhampton wanderers","1899-1900","first division","30","3","2","1","32","4"
"wolverhampton wanderers","1900-01","first division","28","5","3","0","31","5"
"wolverhampton wanderers","1901-02","first division","30","4","1","0","31","4"
"wolverhampton wanderers","1902-03","first division","34","5","1","0","35","5"
"wolverhampton wanderers","1903-04","first division","30","6","4","1","34","7"
"wolverhampton wanderers","1904-05","first division","16","1","0","0","16","1"
"wolverhampton wanderers","total","total","251","47","18","2","269","49"
"stoke","1905-06","first division","36","5","2","0","38","5"
"stoke","1906-07","first division","23","0","2","0","25","0"
"stoke","total","total","59","5","4","0","63","5"
"career total","career total","career total","310","52","22","2","332","54"
