"type of offence","police contacts for decedents in british columbia","police contacts for decedents in surrey","all criminal offences in british columbia, 2009 to 2016"
"type of offence","percent","percent","percent"
"violent offences","17","17","15"
"property offences","31","35","54"
"other criminal code offences","17","15","14"
"administration of justice offences","19","17","4"
"drug offences","11","11","6"
"criminal code traffic violations","4","5","4"
"other federal statute violations","1","1","2"
"total","100","100","100"
