"","1980 to 2000","2000 to 2013"
"","percent","percent"
"real gross output","1.0","1.1"
"contributions","",""
"labour input","-0.3","0.4"
"capital input","-0.2","2.1"
"natural capital input","0.0","0.1"
"intermediate input","0.0","1.2"
"mfp growth","1.6","-2.7"
"addendum","",""
"real output growth","1.0","1.1"
"labour input growth","-1.2","2.9"
"capital input growth","-0.5","6.6"
"natural capital input growth","1.1","0.9"
"intermediate input growth","-0.1","3.6"
"mfp growth without natural capital","1.6","-4.1"
