"year","firm size","firm size","firm size","firm size","firm size","firm size","firm size"
"year","0 to 0.99","1 to 1.99","2 to 3.99","4 to 9.99","10 to 24.99","25 to 49.99","50 and more"
"year","percent","percent","percent","percent","percent","percent","percent"
"2001","55.1","18.3","12.0","9.8","3.3","x","x"
"2002","50.5","20.2","14.6","9.9","3.6","x","x"
"2003","46.9","20.7","16.1","11.4","4.1","x","x"
"2004","48.1","19.1","16.3","11.7","3.8","x","x"
"2005","46.9","21.3","16.1","11.3","3.5","0.7","0.3"
"2006","46.7","20.8","15.6","12.2","3.7","0.7","0.2"
"2007","45.8","21.7","15.3","11.8","4.1","0.9","0.4"
"2008","45.7","21.0","15.5","12.4","3.9","0.9","0.5"
"2009","45.2","20.5","15.4","12.6","4.8","1.0","0.5"
"2010","45.1","20.7","15.4","12.7","4.4","1.2","0.5"
