"australia","first innings","first innings","second innings","second innings"
"batsman","method of dismissal","runs","method of dismissal","runs"
"a. r. morris","c cranston b bedser","6","c pollard b yardley","182"
"a. l. hassett","c crapp b pollard","13","c & b compton","17"
"* d. g. bradman","b pollard","33","not out","173"
"k. r. miller","c edrich b yardley","58","lbw b cranston","12"
"r. n. harvey","b laker","112","not out","4"
"s. j. e. loxton","b yardley","93","none","none"
"i. w. g. johnson","c cranston b laker","10","none","none"
"r. r. lindwall","c crapp b bedser","77","none","none"
"+ r. a. saggers","st evans b laker","5","none","none"
"w. a. johnston","c edrich b bedser","13","none","none"
"e. r. h. toshack","not out","12","none","none"
"extras","none","26","none","16"
"total","(136.2 overs)","458","(114.1 overs)","404/3"
