"selected incident characteristic","women","women","women","men","men","men"
"selected incident characteristic","percent","95% confidence interval","95% confidence interval","percent","95% confidence interval","95% confidence interval"
"selected incident characteristic","percent","from","to","percent","from","to"
"location of the incident","","","","","",""
"in a restaurant or bar","19.7","18.1","21.5","28.4","25.5","31.6"
"inside a school or on school grounds","3.5","2.7","4.7","8.3","6.4","10.7"
"in a commercial or office building","15.7","14.2","17.4","14.1","12.1","16.3"
"in a hospital, prison, or rehabilitation centre","1.8","1.4","2.3","1.3","0.8","2.1"
"on public transportation","12.7","11.1","14.5","10.4","8.6","12.5"
"in a parking garage or parking lot","2.9","2.4","3.6","2.3","1.6","3.3"
"sidewalk or street in respondent's neighbourhood","15.0","13.4","16.8","10.2","8.5","12.1"
"other sidewalk or street","12.1","10.9","13.5","8.5","6.7","10.7"
"rural area or park","3.1","2.5","3.8","3.2","2.3","4.4"
"private residence","4.8","4.1","5.7","5.5","4.1","7.4"
"other","5.7","4.8","6.6","5.3","4.2","6.7"
"number of perpetrators","","","","","",""
"one","80.9","79.0","82.5","74.3","71.1","77.3"
"more than one","18.1","16.5","19.9","24.5","21.6","27.7"
"sex of perpetrator","","","","","",""
"male","87.8","86.4","89.1","61.7","58.3","65.0"
"female","5.3","4.5","6.3","27.3","24.2","30.5"
"multiple perpetrators, both male and female","3.6","2.9","4.5","7.4","5.9","9.2"
"relationship of perpetrator to victim","","","","","",""
"family member","1.8","1.3","2.3","2.9","1.8","4.5"
"friend, neighbour, or acquaintance","11.8","10.5","13.2","18.3","16.0","20.9"
"teacher, professor, supervisor, manager, or boss","0.8","0.4","1.5","0.7","0.4","1.1"
"co-worker or classmate","3.6","2.7","4.7","7.2","5.4","9.4"
"stranger or known by sight only","79.6","77.8","81.3","68.1","65.0","71.1"
"other","2.2","1.8","2.8","2.6","1.8","3.7"
"incident related to perpetrator's alcohol or drug use","","","","","",""
"yes","30.2","28.2","32.4","34.2","31.3","37.2"
"no","35.7","33.7","37.8","38.3","35.1","41.6"
"don't know","32.0","30.0","34.0","26.3","23.4","29.4"
