"year","team","games","games","receiving","receiving","receiving","receiving","receiving","fumbles","fumbles"
"year","team","gp","gs","rec","yds","avg","lng","td","fum","lost"
"2004","ne","1","1","2","16","8.0","14","0","0","0"
"2005","ne","15","9","29","441","15.2","35","4","1","1"
"2006","ne","13","13","49","643","13.1","40","3","3","1"
"2007","ne","12","8","36","389","10.8","35","6","1","0"
"2008","ne","14","9","22","209","9.5","29","2","1","1"
"2009","ne","16","7","29","404","13.9","36","5","1","1"
"2010","cle","16","16","68","763","11.2","44","3","0","0"
"2011","cle","13","11","37","410","11.1","34","2","0","0"
"2012","cle","16","14","49","501","10.2","27","3","1","0"
"2013","no","15","7","19","226","11.9","32","2","0","0"
"2014","no","16","8","20","136","6.8","15","2","0","0"
"2015","no","16","16","74","825","11.1","46","6","1","1"
"2016","bal","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury"
"2017","bal","16","12","61","522","8.6","33","4","1","0"
"2018","no","16","4","35","400","11.4","32","2","0","0"
"career","career","195","135","530","5,885","11.1","46","44","9","4"
"sources:","sources:","sources:","sources:","sources:","sources:","sources:","sources:","sources:","sources:","sources:"
