"","estrie","estrie","monteregie","monteregie","montreal - laval","montreal - laval","laurentides","laurentides","outaouais","outaouais","total quebec","total quebec"
"","number","percent","number","percent","number","percent","number","percent","number","percent","number","percent"
"operators living on or off the farm","","","","","","","","","","","",""
"off the farm","960","22.9","2,140","20.8","65","28.9","390","18.9","265","15.9","10,230","23.3"
"on the farm","3,245","77.3","8,150","79.2","160","71.1","1,670","80.9","1,395","83.8","33,695","76.7"
"farm work, by average number of hours per week","","","","","","","","","","","",""
"less than 20 hours","1,325","31.5","2,635","25.6","45","20.0","590","28.6","520","31.2","12,430","28.3"
"between 20 and 29 hours","510","12.1","1,195","11.6","10","4.4","245","11.9","255","15.3","4,920","11.2"
"between 30 and 40 hours","475","11.3","1,270","12.3","25","11.1","240","11.6","210","12.6","5,070","11.5"
"40 hours and more","1,895","45.1","5,190","50.4","135","60.0","995","48.2","685","41.1","21,500","49.0"
"non-farm paid work, by average number of hours per week","","","","","","","","","","","",""
"operators reporting no paid non-farm work","2,540","60.5","6,725","65.4","155","68.9","1,325","64.2","880","52.9","28,280","64.4"
"operators reporting less than 20 hours","270","6.4","675","6.6","10","4.4","125","6.1","125","7.5","2,725","6.2"
"operators reporting between 20 and 29 hours","235","5.6","540","5.2","15","6.7","105","5.1","105","6.3","2,105","4.8"
"operators reporting between 30 and 40 hours","595","14.2","1,150","11.2","20","8.9","270","13.1","295","17.7","5,445","12.4"
"operators reporting more than 40 hours","565","13.5","1,190","11.6","20","8.9","230","11.1","260","15.6","5,355","12.2"
