"","public high school","private high school"
"","mean","mean"
"sectarian","0.318","0.806"
"semestered","0.692","0.255"
"enrolment","1,079.9","712.8"
"student-teacher ratio","17.0","17.8"
"total annual instructional hours","967.6","945.1"
"number of computers per student","0.191","0.200"
"percentage of teachers with an undergraduate degree","93.0","87.1"
"percentage of english/french teachers with undergraduate degree in english/french language and literature","81.9","81.3"
"percentage of certified teachers","96.7","97.1"
"percentage of teachers participated in training in last three months","59.3","52.3"
"special tutoring available from staff members","0.796","0.798"
"low expectations from teachers","",""
"does not hinder learning at all","0.528","0.716"
"hinder learning a little","0.383","0.279"
"hinder learning some or a lot","0.089","0.005"
"teacher feedback","",""
"less than three times per year","0.014","0.000"
"three times per year","0.035","0.057"
"four or more times per year","0.950","0.943"
