"type of support","would have liked to have received support in the past 12 months","would have liked to have received support in the past 12 months","would have liked to have received support in the past 12 months"
"type of support","total","men","women"
"type of support","percent","percent","percent"
"financial support, government assistance or tax credit","55.6","57.4","54.0"
"home care or support","44.5","37.6","50.2"
"information or advice","33.3","29.7","36.1"
"help from medical professionals","29.3","27.3","30.9"
"occasional relief or respite care","28.1","30.8","25.9"
"emotional support or counselling","27.4","25.1","29.2"
"volunteer or community services","21.5","19.2","23.3"
"other non-specified type of support","15.9","15.7","16.1"
