"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"independiente rivadavia","2010-11","primera b nacional","0","0","0","0","-","-","0","0","0","0"
"independiente rivadavia","2011-12","primera b nacional","20","0","1","0","-","-","0","0","21","0"
"independiente rivadavia","2012-13","primera b nacional","22","0","0","0","-","-","0","0","22","0"
"independiente rivadavia","2013-14","primera b nacional","26","1","0","0","-","-","0","0","26","1"
"independiente rivadavia","2014","primera b nacional","17","1","0","0","-","-","0","0","17","1"
"independiente rivadavia","total","total","85","2","1","0","-","-","0","0","86","2"
"sportivo italiano","2015","primera b metropolitana","31","4","0","0","-","-","0","0","31","4"
"atlanta","2016","primera b metropolitana","14","0","0","0","-","-","0","0","14","0"
"atlanta","2016-17","primera b metropolitana","21","0","1","0","-","-","1","0","23","0"
"atlanta","total","total","35","0","1","0","-","-","1","0","37","0"
"independiente rivadavia","2017-18","primera b nacional","6","0","0","0","-","-","0","0","6","0"
"independiente rivadavia","2018-19","primera b nacional","5","0","0","0","-","-","0","0","5","0"
"independiente rivadavia","total","total","11","0","0","0","-","-","0","0","11","0"
"career total","career total","career total","162","6","2","0","-","-","1","0","165","6"
