"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"kettering town","1960-61","southern league","","","","","","","-","-","",""
"kettering town","1961-62","southern league","","","","","","","-","-","",""
"kettering town","total","total","76","40","","","","","","","76","40"
"stoke city","1962-63","second division","3","0","1","0","1","0","-","-","5","0"
"stoke city","1963-64","first division","29","18","4","2","9","10","-","-","42","30"
"stoke city","1964-65","first division","41","25","3","2","5","2","-","-","49","29"
"stoke city","1965-66","first division","23","13","1","0","0","0","-","-","24","13"
"stoke city","1966-67","first division","14","8","0","0","1","1","-","-","15","9"
"stoke city","total","total","110","64","9","4","16","13","0","0","135","81"
"sheffield wednesday","1966-67","first division","24","10","4","5","0","0","-","-","28","15"
"sheffield wednesday","1967-68","first division","41","18","4","3","4","1","-","-","49","22"
"sheffield wednesday","1968-69","first division","24","6","4","2","1","0","-","-","29","7"
"sheffield wednesday","total","total","89","34","12","10","5","1","0","0","106","45"
"stoke city","1969-70","first division","32","14","2","2","1","0","-","-","35","16"
"stoke city","1970-71","first division","27","13","5","6","2","0","6","3","40","22"
"stoke city","1971-72","first division","32","12","9","2","12","4","7","4","60","22"
"stoke city","1972-73","first division","31","14","1","0","3","1","2","1","37","16"
"stoke city","1973-74","first division","30","14","1","1","4","0","2","0","37","15"
"stoke city","1974-75","first division","7","4","0","0","0","0","0","0","7","4"
"stoke city","total","total","159","71","18","11","22","5","17","8","216","95"
"stoke city total","stoke city total","stoke city total","269","135","27","15","38","18","17","8","351","176"
"career total","career total","career total","434","209","39","25","43","19","17","8","533","261"
