"age group","total, all primary sites","total, all primary sites","total, all primary sites","ovary","ovary","ovary","cervix","cervix","cervix","uterus","uterus","uterus","combined share of all primary site cancer cases"
"age group","rate per 100,000","95% ci","95% ci","rate per 100,000","95% ci","95% ci","rate per 100,000","95% ci","95% ci","rate per 100,000","95% ci","95% ci","%"
"age group","rate per 100,000","from","to","rate per 100,000","from","to","rate per 100,000","from","to","rate per 100,000","from","to","%"
"20 to 24","32.2","29.0","35.6","2.1","1.4","3.2","1.7","1.0","2.6","0.0","0.0","0.3","12.0"
"25 to 29","64.4","59.9","69.1","2.5","1.7","3.6","6.3","4.9","7.9","0.8","0.4","1.5","14.9"
"30 to 34","107.4","101.5","113.4","2.5","1.7","3.6","10.6","8.8","12.6","2.5","1.7","3.6","14.6"
"35 to 39","174.2","166.6","182.0","4.8","3.6","6.3","13.2","11.1","15.4","5.7","4.4","7.3","13.6"
"40 to 44","270.8","261.6","280.3","9.2","7.6","11.1","17.1","14.9","19.6","13.0","11.0","15.2","14.5"
"45 to 49","410.5","399.7","421.5","16.5","14.4","18.8","12.7","10.9","14.8","23.2","20.7","25.9","12.8"
"50 to 54","569.9","557.2","582.7","21.4","19.1","24.1","8.9","7.4","10.6","45.9","42.3","49.6","13.4"
"55 to 59","751.4","736.0","767.0","22.4","19.8","25.3","10.8","9.0","12.8","75.1","70.3","80.2","14.4"
"60 to 64","1024.3","1004.9","1044.0","28.9","25.7","32.3","10.1","8.3","12.2","99.6","93.7","105.9","13.5"
