"","neither cyberbullied nor cyberstalked","cyberbullied, but not cyberstalked","cyberstalked, but not cyberbullied","cyberbullied and cyberstalked"
"","percent","percent","percent","percent"
"all 15-to-29 year-olds","83.2","6.0","5.6","5.2"
"sociodemographic","","","",""
"sexual orientation","","","",""
"heterosexual","84.6","5.0","5.6","4.8"
"homosexual/bi-sexual","66.0","12.2","9.6","12.3"
"age group","","","",""
"15 to 17","81.0","9.3","5.0","4.8"
"18 to 20","80.5","7.8","5.6","6.1"
"21 to 23","84.0","5.1","6.1","4.8"
"24 to 26","84.5","5.0","5.7","4.8"
"27 to 29","85.4","3.5","5.6","5.5"
"gender","","","",""
"men","85.2","6.1","4.7","4.1"
"women","81.1","6.0","6.6","6.4"
"province/region of residence","","","",""
"atlantic","82.1","6.8","5.2","5.9"
"quebec","86.6","5.9","4.1","3.4"
"ontario","81.0","7.0","6.0","6.1"
"west","83.7","4.9","6.2","5.2"
"population size of community","","","",""
"rural","84.0","6.6","3.7","5.8"
"population centre","82.9","5.9","6.1","5.1"
"family, family background","","","",""
"marital status","","","",""
"currently married or ever-married/common-law","88.8","4.0","4.1","3.2"
"single/never-married","81.7","6.6","6.0","5.7"
"parental education","","","",""
"both have high school or less","81.1","6.7","7.1","5.1"
"at least one has postsecondary education","84.6","5.3","5.0","5.0"
"both have postsecondary education","82.5","6.2","5.8","5.5"
"do not know either parent's education level","84.4","6.0","4.5","5.1"
"education/main activity/household income","","","",""
"highest level of education","","","",""
"less than high school","81.2","9.1","4.5","5.3"
"high school","81.3","5.7","7.0","6.0"
"postsecondary - non-university","86.7","4.4","5.0","4.0"
"postsecondary - university","84.3","5.2","5.2","5.3"
"main activity in the last year","","","",""
"non-student","84.5","4.9","5.6","4.9"
"student","81.7","7.2","5.6","5.5"
"household income","","","",""
"less than $40,000","75.6","6.3","11.1","7.1"
"$40,000 to $79,999","83.4","7.1","5.2","4.3"
"$80,000 or more","85.3","5.0","5.1","4.6"
"not stated","82.6","6.3","5.4","5.6"
"cultural/ethnic","","","",""
"religious affiliation","","","",""
"none","80.6","6.2","6.0","7.2"
"christian","84.4","6.3","5.2","4.2"
"non-christian","83.8","4.2","7.4","4.6"
"visible minority","","","",""
"no","82.2","6.5","5.6","5.8"
"yes","86.1","4.8","5.4","3.7"
