"perceptions of response to sexual misconduct","2018","2018","2018","2018","2018","2018","2018","2016","2016","2016","2016","2016","2016","2016"
"perceptions of response to sexual misconduct","experienced sexualized or discriminatory behaviours","experienced sexualized or discriminatory behaviours","victim of sexual assault","victim of sexual assault","total, all regular force members","total, all regular force members","total, all regular force members","experienced sexualized or discriminatory behaviours","experienced sexualized or discriminatory behaviours","victim of sexual assault","victim of sexual assault","total, all regular force members","total, all regular force members","total, all regular force members"
"perceptions of response to sexual misconduct","men","women","men","women","men","women","total","men","women","men","women","men","women","total"
"perceptions of response to sexual misconduct","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent"
"the canadian armed forces currently works hard to create a workplace that prevents inappropriate sexual behaviour","","","","","","","","","","","","","",""
"strongly agree","67","48","52","32","75","64","74","58","39","37","27","65","54","63"
"somewhat agree","22","38","31","45","18","28","20","27","40","27","41","25","33","26"
"somewhat or strongly disagree","5","8","11","18","2","4","3","6","12","22","22","3","6","4"
"inappropriate sexual behaviour is not tolerated in my current unit","","","","","","","","","","","","","",""
"strongly agree","71","59","57","45","84","77","83","67","53","40","48","79","72","78"
"somewhat agree","17","24","23","29","11","15","11","18","25","24","21","13","17","14"
"somewhat or strongly disagree","5","8","13","19","2","3","2","7","11","21","19","3","5","3"
"complaints about inappropriate sexual behaviour are (or would be) taken seriously in my current unit","","","","","","","","","","","","","",""
"strongly agree","78","62","62","50","85","77","84","76","59","47","51","82","74","81"
"somewhat agree","13","19","18","17","9","13","10","13","20","21","20","11","15","11"
"somewhat or strongly disagree","4","9","11","21","2","4","2","4","11","15","19","2","5","2"
"i trust my chain of command to effectively deal with inappropriate sexual behaviour","","","","","","","","","","","","","",""
"strongly agree","62","48","47","37","71","66","70","60","44","33","37","66","60","65"
"somewhat agree","20","26","22","25","18","21","19","22","27","23","27","20","23","21"
"somewhat or strongly disagree","10","16","21","29","5","7","5","10","18","26","27","6","9","6"
"i have received adequate training on preventing and addressing inappropriate sexual behaviour","","","","","","","","","","","","","",""
"strongly agree","68","56","57","44","71","65","70","59","44","35","34","62","56","61"
"somewhat agree","22","29","19","36","20","23","20","23","29","28","27","24","25","25"
"somewhat or strongly disagree","5","7","12","9","3","4","3","7","13","15","16","5","9","5"
"inappropriate sexual behaviour is a problem in the canadian armed forces","","","","","","","","","","","","","",""
"strongly agree","16","29","25","50","16","21","17","14","32","28","50","15","22","16"
"somewhat agree","22","35","30","26","24","32","25","18","31","22","28","21","29","22"
"somewhat or strongly disagree","38","15","26","10","32","19","30","45","17","28","8","36","21","34"
