"no","pos","nat","player","total","total","premier league","premier league","fa cup","fa cup","league cup","league cup","champions league","champions league"
"no","pos","nat","player","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"1","gk","poland","wojciech szczesny","46","0","37+0","0","0+0","0","0+0","0","9+0","0"
"3","df","france","bacary sagna","48","1","34+1","1","4+0","0","0+0","0","9+0","0"
"4","df","germany","per mertesacker","52","3","35+0","2","5+1","1","1+0","0","10+0","0"
"5","df","belgium","thomas vermaelen","21","0","7+7","0","3+0","0","2+0","0","1+1","0"
"6","df","france","laurent koscielny","46","3","32+0","2","4+0","1","1+0","0","9+0","0"
"7","mf","czech republic","tomas rosicky","39","3","17+10","2","1+2","1","1+0","0","6+2","0"
"8","mf","spain","mikel arteta","43","3","27+4","2","5+0","1","1+0","0","5+1","0"
"9","fw","germany","lukas podolski","27","12","14+6","8","4+0","3","0+0","0","2+1","1"
"10","mf","england","jack wilshere","35","5","19+5","3","2+1","0","1+0","0","6+1","2"
"11","mf","germany","mesut ozil","40","7","25+1","5","4+1","1","0+1","0","8+0","1"
"12","fw","france","olivier giroud","51","22","36+0","16","1+4","3","0+1","0","9+0","3"
"13","gk","italy","emiliano viviano","0","0","0+0","0","0+0","0","0+0","0","0+0","0"
"14","fw","england","theo walcott","18","6","9+4","5","1+0","0","0+0","0","3+1","1"
"15","fw","england","alex oxlade-chamberlain","20","3","6+8","2","4+0","1","0+0","0","2+0","0"
"16","mf","wales","aaron ramsey","34","16","20+3","10","2+0","1","1+0","0","7+1","5"
"17","df","spain","nacho monreal","36","0","13+10","0","3+0","0","2+0","0","2+6","0"
"19","mf","spain","santi cazorla","46","7","30+1","4","4+2","3","1+0","0","6+2","0"
"20","mf","france","mathieu flamini","36","2","18+9","2","2+1","0","0+0","0","6+0","0"
"21","gk","poland","łukasz fabianski","11","0","1+0","0","6+0","0","2+0","0","1+1","0"
"22","fw","france","yaya sanogo","14","0","0+8","0","3+1","0","0+0","0","1+1","0"
"23","fw","denmark","nicklas bendtner","14","2","1+8","2","1+0","0","2+0","0","0+2","0"
"24","mf","france","abou diaby","1","0","0+1","0","0+0","0","0+0","0","0+0","0"
"25","df","england","carl jenkinson","22","1","7+7","1","2+1","0","2+0","0","2+1","0"
"28","df","england","kieran gibbs","41","1","24+4","0","3+2","0","0+0","0","7+1","1"
"29","mf","sweden","kim kallstrom","4","0","1+2","0","0+1","0","0+0","0","0+0","0"
"30","fw","south korea","park chu-young","1","0","0+0","0","0+0","0","0+1","0","0+0","0"
"31","fw","japan","ryo miyaichi","5","0","0+1","0","0+0","0","2+0","0","0+2","0"
"37","fw","england","chuba akpom","2","0","0+1","0","0+0","0","0+1","0","0+0","0"
"40","df","spain","hector bellerin","1","0","0+0","0","0+0","0","0+1","0","0+0","0"
"42","mf","germany","thomas eisfeld","1","1","0+0","0","0+0","0","1+0","1","0+0","0"
"44","fw","germany","serge gnabry","15","1","5+4","1","2+0","0","1+0","0","0+3","0"
"45","df","england","isaac hayden","1","0","0+0","0","0+0","0","1+0","0","0+0","0"
"53","mf","sweden","kristoffer olsson","1","0","0+0","0","0+0","0","0+1","0","0+0","0"
"58","mf","germany","gedion zelalem","1","0","0+0","0","0+1","0","0+0","0","0+0","0"
