"club","season","league","league","league","cup","cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"east bengal","2008-09","i-league","14","9","4","2","0","0","18","11"
"east bengal","total","total","14","9","4","2","0","0","18","11"
"dempo","2009-10","i-league","13","8","0","0","0","0","13","8"
"dempo","total","total","13","8","0","0","0","0","13","8"
"kansas city wizards","2010","mls","0","0","1","0","0","0","1","0"
"kansas city wizards","total","total","0","0","1","0","0","0","1","0"
"chirag united","2011","i-league","7","7","0","0","0","0","7","7"
"chirag united","total","total","7","7","0","0","0","0","7","7"
"mohun bagan","2011-12","i-league","14","8","2","1","0","0","16","9"
"mohun bagan","total","total","14","8","2","1","0","0","16","9"
"sporting cp b","2012-13","ligapro","3","0","0","0","-","-","3","0"
"sporting cp b","total","total","3","0","0","0","-","-","3","0"
"churchill brothers","2012-13","i-league","8","4","0","0","5","2","13","6"
"churchill brothers","total","total","8","4","0","0","5","2","13","6"
"bengaluru fc","2013-14","i-league","23","14","3","1","-","-","26","15"
"bengaluru fc","2014-15","i-league","20","2","6","6","6","3","32","11"
"bengaluru fc","total","total","43","16","9","7","6","3","58","26"
"mumbai city","2015","indian super league","11","7","-","-","-","-","11","7"
"mumbai city","total","total","11","7","-","-","-","-","11","7"
"bengaluru fc","2015-16","i-league","14","5","2","1","9","5","25","11"
"bengaluru fc","total","total","14","5","2","1","9","5","25","11"
"mumbai city","2016","indian super league","6","0","-","-","-","-","6","0"
"mumbai city","total","total","6","0","0","0","0","0","6","0"
"bengaluru fc","2016-17","i-league","16","7","3","0","11","5","30","12"
"bengaluru fc","2017-18","indian super league","21","14","4","6","8","4","33","24"
"bengaluru fc","2018-19","indian super league","18","9","1","1","2","0","21","10"
"bengaluru fc","total","total","55","30","8","7","21","9","84","46"
"career total","career total","career total","188","94","27","18","41","19","255","131"
