"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"sheffield wednesday","1976-77","third division","45","0","2","0","5","0","52","0"
"sheffield wednesday","1977-78","third division","23","0","2","0","6","0","31","0"
"sheffield wednesday","1978-79","third division","23","0","9","0","0","0","32","0"
"sheffield wednesday","total","total","91","0","13","0","11","0","115","0"
"lincoln city","1978-79","third division","5","0","0","0","0","0","5","0"
"sunderland","1979-80","second division","30","0","0","0","2","0","32","0"
"sunderland","1980-81","first division","27","0","2","0","2","0","31","0"
"sunderland","1981-82","first division","19","0","0","0","0","0","19","0"
"sunderland","1982-83","first division","35","0","2","0","4","0","41","0"
"sunderland","1983-84","first division","42","0","2","0","4","0","48","0"
"sunderland","1984-85","first division","42","0","1","0","10","0","53","0"
"sunderland","total","total","195","0","7","0","22","0","124","0"
"manchester united","1985-86","first division","17","0","3","0","2","0","22","0"
"manchester united","1986-87","first division","23","0","2","0","4","0","29","0"
"manchester united","1987-88","first division","24","0","3","0","3","0","30","0"
"manchester united","total","total","64","0","8","0","9","0","81","0"
"sheffield wednesday","1988-89","first division","29","0","2","0","2","0","33","0"
"sheffield wednesday","1989-90","first division","23","0","2","0","1","0","26","0"
"sheffield wednesday","1990-91","second division","23","0","4","0","4","0","31","0"
"sheffield wednesday","total","total","75","0","8","0","7","0","90","0"
"leeds united","1989-90","second division","2","0","0","0","0","0","2","0"
"leyton orient","1991-92","third division","34","0","5","0","4","0","43","0"
"leyton orient","1992-93","second division","17","0","1","0","2","0","20","0"
"leyton orient","1993-94","second division","6","0","0","0","2","0","8","0"
"leyton orient","1994-95","second division","1","0","0","0","0","0","1","0"
"leyton orient","total","total","58","0","6","0","8","0","70","0"
"career total","career total","career total","490","0","42","0","57","0","589","0"
