"place of residence","all living arrangements","in a couple","in a couple","in a couple","lone parents","as children","with relatives","with non-relatives only","alone"
"place of residence","all living arrangements","total","with married spouse","with common-law partner","lone parents","as children","with relatives","with non-relatives only","alone"
"place of residence","percent","percent","percent","percent","percent","percent","percent","percent","percent"
"canada","100.0","56.2","45.0","11.2","8.6","14.2","2.9","3.8","14.3"
"provinces and territories","provinces and territories","provinces and territories","provinces and territories","provinces and territories","provinces and territories","provinces and territories","provinces and territories","provinces and territories","provinces and territories"
"newfoundland and labrador","100.0","60.8","51.5","9.3","8.9","12.6","2.7","3.0","12.1"
"prince edward island","100.0","57.7","49.9","7.7","8.8","13.9","2.1","3.5","13.9"
"nova scotia","100.0","55.9","46.3","9.6","9.4","12.4","2.5","4.3","15.4"
"new brunswick","100.0","58.8","47.5","11.2","9.0","11.9","2.4","3.7","14.2"
"quebec","100.0","55.5","34.6","21.0","8.4","12.8","2.4","3.3","17.6"
"ontario","100.0","55.5","48.3","7.3","9.0","16.0","3.2","3.5","12.7"
"manitoba","100.0","56.1","48.0","8.1","9.0","14.3","2.9","3.0","14.8"
"saskatchewan","100.0","57.8","49.1","8.7","8.8","12.3","2.4","3.8","14.9"
"alberta","100.0","59.1","49.7","9.4","7.7","13.2","2.8","5.2","12.0"
"british columbia","100.0","55.9","47.4","8.5","8.0","13.6","3.2","4.9","14.4"
"yukon","100.0","54.0","36.9","17.2","10.1","12.3","2.9","5.9","14.8"
"northwest territories","100.0","54.9","34.9","20.1","11.0","15.7","3.5","5.3","9.6"
"nunavut","100.0","54.0","29.4","24.6","15.1","17.7","4.5","2.9","5.8"
"census metropolitan areas","census metropolitan areas","census metropolitan areas","census metropolitan areas","census metropolitan areas","census metropolitan areas","census metropolitan areas","census metropolitan areas","census metropolitan areas","census metropolitan areas"
"st. john's, newfoundland and labrador","100.0","55.2","45.6","9.6","9.7","13.8","3.1","4.9","13.3"
"halifax, nova scotia","100.0","54.0","44.0","10.0","8.9","12.4","2.6","6.3","15.8"
"moncton, new brunswick","100.0","57.8","45.5","12.3","8.3","11.1","2.5","5.4","14.9"
"saint john, new brunswick","100.0","55.8","47.2","8.6","10.4","13.0","2.4","3.7","14.7"
"saguenay, quebec","100.0","60.0","35.9","24.1","7.0","11.7","1.9","2.3","16.9"
"quebec, quebec","100.0","55.7","30.2","25.5","7.1","11.3","1.8","3.6","20.6"
"sherbrooke, quebec","100.0","54.7","30.8","23.8","7.7","10.9","1.7","3.9","21.2"
"trois-rivieres, quebec","100.0","53.9","30.3","23.6","8.4","11.0","2.0","3.5","21.2"
"montreal, quebec","100.0","52.4","35.3","17.1","9.2","14.1","2.8","3.7","17.8"
"ottawa-gatineau, ontario/quebec","100.0","54.8","43.4","11.4","8.5","14.2","2.7","4.5","15.3"
"kingston, ontario","100.0","55.1","45.2","9.9","8.4","12.5","2.2","5.4","16.4"
"peterborough, ontario","100.0","55.8","46.3","9.5","8.5","13.1","2.4","5.0","15.1"
"oshawa, ontario","100.0","57.1","48.4","8.7","10.0","17.1","2.9","3.0","10.0"
"toronto, ontario","100.0","53.0","47.9","5.2","9.5","18.1","4.3","3.9","11.2"
"hamilton, ontario","100.0","55.0","47.7","7.2","9.3","16.1","2.7","2.8","14.1"
"st. catharines-niagara, ontario","100.0","55.0","47.2","7.8","9.6","14.5","2.4","3.2","15.3"
"kitchener-cambridge-waterloo, ontario","100.0","57.6","49.4","8.1","8.7","15.4","2.7","3.7","12.0"
"brantford, ontario","100.0","56.2","46.6","9.6","10.4","15.1","2.4","2.7","13.2"
"guelph, ontario","100.0","57.1","48.4","8.7","8.0","14.0","2.7","4.8","13.4"
"london, ontario","100.0","54.3","46.0","8.3","9.1","14.1","2.4","4.1","16.0"
"windsor, ontario","100.0","54.0","47.8","6.2","10.5","16.2","2.6","2.6","14.2"
"barrie, ontario","100.0","57.2","47.1","10.1","9.5","15.9","3.0","4.1","10.4"
"greater sudbury, ontario","100.0","57.2","46.1","11.1","9.0","13.1","2.1","3.3","15.4"
"thunder bay, ontario","100.0","54.0","44.9","9.1","9.6","14.1","2.1","3.0","17.1"
"winnipeg, manitoba","100.0","53.4","45.7","7.7","9.3","14.9","3.3","3.4","15.8"
"regina, saskatchewan","100.0","54.3","46.2","8.1","9.6","13.2","2.7","4.3","15.9"
"saskatoon, saskatchewan","100.0","54.5","46.6","8.0","8.5","12.8","3.0","6.2","15.0"
"calgary, alberta","100.0","57.8","49.4","8.4","7.4","13.8","3.1","5.7","12.3"
"edmonton, alberta","100.0","56.6","47.8","8.8","8.3","13.9","3.2","5.3","12.7"
"kelowna, british columbia","100.0","57.8","48.8","9.0","7.5","11.2","2.4","5.8","15.3"
"abbotsford-mission, british columbia","100.0","58.6","52.2","6.4","8.2","15.0","3.7","3.6","10.9"
"vancouver, british columbia","100.0","53.8","47.0","6.7","7.9","15.8","3.9","4.9","13.7"
"victoria, british columbia","100.0","53.2","43.3","9.9","7.6","10.5","2.5","6.6","19.6"
"rural status","rural status","rural status","rural status","rural status","rural status","rural status","rural status","rural status","rural status"
"rural area","100.0","66.5","52.2","14.3","6.3","13.7","2.1","2.1","9.2"
"not rural area","100.0","53.9","43.4","10.5","9.1","14.3","3.1","4.2","15.4"
