"no","pos","nat","player","total","total","b division","b division","scottish cup","scottish cup","league cup","league cup","supplementary cup","supplementary cup","fob quaich","fob quaich"
"no","pos","nat","player","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"none","gk","scotland","wallace murdoch","1","0","1","0","0","0","0","0","0","0","0","0"
"none","gk","scotland","george paton","43","0","29","0","2","0","6","0","2","0","4","0"
"none","df","scotland","jack cameron","2","0","1","0","0","0","1","0","0","0","0","0"
"none","df","scotland","george ferguson","37","0","25","0","2","0","6","0","2","0","2","0"
"none","df","scotland","flaherty","1","0","1","0","0","0","0","0","0","0","0","0"
"none","df","scotland","ally johnstone","4","0","1","0","0","0","1","0","0","0","2","0"
"none","df","scotland","jack mcnee","43","3","30","3","2","0","5","0","2","0","4","0"
"none","df","scotland","john stewart","1","0","1","0","0","0","0","0","0","0","0","0"
"none","mf","scotland","tommy irwin","20","0","13","0","0","0","3","0","0","0","4","0"
"none","mf","scotland","willie mclaren","3","0","0","0","0","0","3","0","0","0","0","0"
"none","mf","scotland","jim peden","1","0","0","0","0","0","1","0","0","0","0","0"
"none","mf","scotland","john sharp","1","0","0","0","0","0","1","0","0","0","0","0"
"none","mf","scotland","hugh shaw","41","2","28","1","2","0","5","0","2","0","4","1"
"none","mf","scotland","andy tait","32","3","24","3","2","0","4","0","2","0","0","0"
"none","mf","scotland","jimmy whyte","37","0","29","0","2","0","0","0","2","0","4","0"
"none","fw","scotland","eddie beaton","22","9","11","4","0","0","5","1","2","0","4","4"
"none","fw","scotland","tom donegan","16","5","11","3","0","0","3","0","2","2","0","0"
"none","fw","scotland","jim finnie","16","9","9","3","0","0","3","2","0","0","4","4"
"none","fw","scotland","jimmy forbes","21","3","19","3","2","0","0","0","0","0","0","0"
"none","fw","scotland","jimmy frame","38","12","24","9","2","0","6","2","2","1","4","0"
"none","fw","scotland","willie johnston","6","0","1","0","0","0","5","0","0","0","0","0"
"none","fw","scotland","gerry mccaffrey","2","0","2","0","0","0","0","0","0","0","0","0"
"none","fw","scotland","peter murphy","19","6","17","6","2","0","0","0","0","0","0","0"
"none","fw","scotland","jimmy scott","41","20","27","14","2","2","6","1","2","1","4","2"
"none","fw","scotland","duncan smith","36","2","26","2","2","0","2","0","2","0","4","0"
