"title","album details","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","certifications"
"title","album details","us","us r&b","bel","fin","nld","swe","uk","certifications"
"black diamond","released: september 27, 1999 label: arista format: cd, digital download","46","9","-","-","28","-","62","riaa: gold bpi: gold"
"mahogany soul","released: october 16, 2001 label: j format: cd, digital download","22","4","15","5","15","23","89","riaa: gold bpi: gold"
"stone love","released: june 24, 2004 label: j format: cd, digital download","14","4","18","15","6","12","56","none"
"the art of love & war","released: october 15, 2007 label: stax format: cd, digital download","11","1","-","-","-","-","103","none"
"unexpected","released: november 23, 2009 label: concord, stax format: cd, digital download","133","17","-","-","-","-","-","none"
"rich girl","released: september 25, 2012 label: saguaro road rhythm format: cd, digital download","109","15","-","-","-","-","-","none"
"dream","released: november 6, 2015 label: shanachie format: cd, digital download","59","3","-","-","-","-","-","none"
"covered in soul","released: august 5, 2016 label: goldenlane format: cd, digital download","-","-","-","-","-","-","-","none"
"full circle","released: june 7, 2019 label: conjunction, cleopatra format: cd, digital download","to be released","to be released","to be released","to be released","to be released","to be released","to be released","to be released"
