"age group","females","females","females","males","males"
"age group","thousands","percentage","as a percentage of the age group","thousands","percentage"
"4 and under","938.6","5.2","48.8","986.3","5.6"
"5 to 9","935.3","5.2","48.8","982.9","5.6"
"10 to 14","906.7","5.1","48.6","958.8","5.4"
"15 to 19","1,039.1","5.8","48.6","1,099.6","6.2"
"20 to 24","1,209.0","6.7","48.9","1,263.1","7.2"
"25 to 29","1,212.3","6.8","49.7","1,225.4","7.0"
"30 to 34","1,242.6","6.9","50.1","1,237.3","7.0"
"35 to 39","1,187.4","6.6","50.2","1,179.8","6.7"
"40 to 44","1,179.1","6.6","50.0","1,179.5","6.7"
"45 to 49","1,241.8","6.9","49.8","1,250.3","7.1"
"50 to 54","1,381.4","7.7","49.8","1,393.2","7.9"
"55 to 59","1,281.1","7.2","50.1","1,276.2","7.2"
"60 to 64","1,096.9","6.1","50.6","1,071.3","6.1"
"65 to 69","937.8","5.2","51.2","893.1","5.1"
"70 to 74","691.4","3.9","52.6","623.2","3.5"
"75 to 79","528.6","3.0","54.4","443.6","2.5"
"80 to 84","422.3","2.4","57.3","314.3","1.8"
"85 to 89","292.5","1.6","62.9","172.8","1.0"
"90 and over","191.2","1.1","72.0","74.4","0.4"
"total population","17,915.4","100.0","50.4","17,625.0","100.0"
