"","males charged","males charged","females charged","females charged","total charged","total charged","total not charged","total not charged"
"","number","rate","number","rate","number","rate","number","rate"
"total charges","31,781","2,637","10,414","915","42,195","1,800","51,950","2,216"
"offences against the administration of justice","7,126","591","2,915","256","10,041","428","1,780","76"
"failure to comply with conditions","4,880","405","2,074","182","6,954","297","942","40"
"escape custody","126","10","13","1","139","6","9","0"
"prisoner unlawfully at large","93","8","12","1","105","4","9","0"
"failure to attend court","894","74","446","39","1,340","57","51","2"
"breach of probation","1,013","84","292","26","1,305","56","459","20"
"other offences against the administration of law and justice","120","10","78","7","198","8","310","13"
"youth criminal justice act","2,709","225","1,084","95","3,793","162","592","25"
