"club","season","league","league","league","fa cup","fa cup","league cup","league cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"manchester united","1972-73","first division","0","0","0","0","0","0","0","0","2","0","2","0"
"manchester united","1973-74","first division","16","1","0","0","1","0","0","0","0","0","17","1"
"manchester united","1974-75","second division","37","11","2","1","7","1","0","0","0","0","46","13"
"manchester united","1975-76","first division","41","7","7","4","3","0","0","0","0","0","51","11"
"manchester united","1976-77","first division","17","4","1","0","6","3","4","0","0","0","28","7"
"manchester united","total","total","111","23","10","5","17","4","4","0","2","0","144","32"
"derby county","1976-77","first division","17","7","0","0","0","0","0","0","0","0","17","7"
"derby county","1977-78","first division","37","10","3","1","2","1","0","0","0","0","42","12"
"derby county","1978-79","first division","37","13","1","0","2","0","0","0","0","0","40","13"
"derby county","1979-80","first division","21","1","1","1","1","0","0","0","0","0","23","2"
"derby county","total","total","112","31","5","2","5","1","0","0","0","0","122","34"
"new england tea men","1978","nasl","18","7","-","-","18","7","none","none","none","none","none","none"
"new england tea men","1979","nasl","23","9","-","-","23","9","none","none","none","none","none","none"
"new england tea men","total","total","41","16","-","-","41","16","none","none","none","none","none","none"
"coventry city","1980-81","first division","35","8","4","2","7","1","0","0","0","0","46","11"
"coventry city","1981-82","first division","19","4","2","0","0","0","0","0","0","0","21","4"
"coventry city","1982-83","first division","2","0","0","0","0","0","0","0","0","0","2","0"
"coventry city","1983-84","first division","28","7","4","0","0","0","0","0","0","0","32","7"
"coventry city","total","total","84","19","10","2","7","1","0","0","0","0","101","22"
"leicester city","1982-83","second division","17","1","0","0","0","0","0","0","0","0","17","1"
"leicester city","total","total","17","1","0","0","0","0","0","0","0","0","17","1"
"birmingham city","1984-85","second division","30","1","4","0","2","0","0","0","0","0","36","1"
"birmingham city","1985-86","first division","2","0","0","0","0","0","0","0","0","0","2","0"
"birmingham city","total","total","32","1","4","0","2","0","0","0","0","0","38","1"
"shrewsbury town","1985-86","second division","27","4","1","0","1","0","0","0","1","0","30","4"
"shrewsbury town","1986-87","second division","28","4","1","0","6","0","0","0","1","0","36","4"
"shrewsbury town","total","total","55","4","2","0","7","0","0","0","2","0","66","8"
"stoke city","1986-87","second division","1","0","0","0","0","0","0","0","0","0","1","0"
"stoke city","1987-88","second division","21","1","0","0","4","1","0","0","4","1","29","3"
"stoke city","total","total","22","1","0","0","4","1","0","0","4","1","30","3"
"doncaster rovers","1988-89","fourth division","39","4","1","1","1","0","0","0","2","0","44","5"
"telford united","1989-90","football conference","20","2","0","0","0","0","0","0","0","0","20","2"
"telford united","1990-91","football conference","11","2","0","0","0","0","0","0","0","0","11","2"
"telford united","total","total","31","4","0","0","0","0","0","0","0","0","31","4"
"career total","career total","career total","544","108","32","10","43","7","4","0","10","1","634","124"
