"sex and age group","folate","folate","folate","magnesium","magnesium","magnesium","niacin","niacin","niacin","phosphorus","phosphorus","phosphorus","riboflavin","riboflavin","riboflavin","thiamin","thiamin","thiamin","vitamin d","vitamin d","vitamin d"
"sex and age group","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval"
"sex and age group","%","from","to","%","from","to","%","from","to","%","from","to","%","from","to","%","from","to","%","from","to"
"male","","","","","","","","","","","","","","","","","","","","",""
"2 to 3","3.0","1.6","4.4","0","..","..","0","..","..","0","..","..","0","..","..","0","..","..","93.0","90.0","95.0"
"4 to 8","1.2","0.4","2.2","0","..","..","0","..","..","0","..","..","0","..","..","0","..","..","92.5","89.6","94.6"
"9 to 13","1.8","0.8","3.0","0","..","..","0","..","..","0","..","..","0","..","..","0","..","..","85.8","82.4","88.6"
"14 to 18","0.8","0.2","1.6","5.0","3.0","7.0","0","..","..","0","..","..","0","..","..","0","..","..","79.2","75.8","85.6"
"19 to 30","0.2","0.0","0.6","1.0","0.2","2.0","0","..","..","0","..","..","0","..","..","0","..","..","82.4","78.8","85.6"
"31 to 50","0.0","..","..","7.2","4.8","9.6","0","..","..","0","..","..","0","..","..","0","..","..","69.8","65.6","73.8"
"51 to 70","1.4","0.4","2.6","13.2","10.4","16.0","0","..","..","0","..","..","0","..","..","0","..","..","62.2","58.0","66.6"
"71 or older","2.4","1.0","3.6","12.6","9.6","15.8","0","..","..","0","..","..","0","..","..","0","..","..","53.2","48.2","57.6"
"female","","","","","","","","","","","","","","","","","","","","",""
"2 to 3","3.4","2.0","5.2","0","..","..","0","..","..","0","..","..","0","..","..","0.2","0","0.6","89.4","86.6","92.0"
"4 to 8","0.8","0.2","1.8","0","..","..","0","..","..","0","..","..","0","..","..","0","..","..","93.8","91.6","95.8"
"9 to 13","1.0","0.2","2.0","0.2","0","0.6","0","..","..","1.0","0.2","2.0","0","..","..","0","..","..","80.0","76.6","83.8"
"14 to 18","4.6","2.8","6.6","9.0","6.6","11.6","0","..","..","0","..","..","0","..","..","0","..","..","90.0","87.4","92.4"
"19 to 30","4.4","2.8","6.4","0.2","0","0.6","0","..","..","0","..","..","0","..","..","0","..","..","87.0","84.2","89.4"
"31 to 50","6.8","4.4","9.2","3.4","2.0","5.2","0","..","..","0","..","..","0","..","..","0","..","..","83.6","80.6","87.0"
"51 to 70","4.6","2.8","6.2","1.0","0.2","2.0","0","..","..","0","..","..","0","..","..","0","..","..","79.4","75.8","82.8"
"71 or older","4.8","3.0","6.8","1.0","0.2","2.0","0","..","..","0","..","..","0","..","..","0","..","..","72.0","68.4","76.2"
