"n","pos","nat","name","total","total","total","total","total","a-league","a-league","a-league","a-league","a-league","a-league finals series","a-league finals series","a-league finals series","a-league finals series","a-league finals series","ffa cup","ffa cup","ffa cup","ffa cup","ffa cup","afc champions league","afc champions league","afc champions league","afc champions league","afc champions league"
"n","pos","nat","name","apps","goals","yellow card","second yellow card","red card","apps","goals","yellow card","second yellow card","red card","apps","goals","yellow card","second yellow card","red card","apps","goals","yellow card","second yellow card","red card","apps","goals","yellow card","second yellow card","red card"
"1","gk","australia","matt acton","4","0","0","0","0","2+1","0","0","0","0","0+0","0","0","0","0","0+0","0","0","0","0","1+0","0","0","0","0"
"4","df","australia","rhys williams","32","2","12","0","1","24+0","1","8","0","1","1+0","0","1","0","0","2+0","0","1","0","0","5+0","1","2","0","0"
"6","mf","australia","leigh broxham","35","0","6","0","0","20+4","0","5","0","0","3+0","0","1","0","0","2+0","0","0","0","0","5+1","0","0","0","0"
"7","mf","australia","kenny athiu","11","2","0","0","0","0+4","1","0","0","0","0+2","0","0","0","0","0+0","0","0","0","0","1+4","1","0","0","0"
"8","fw","kosovo","besart berisha","35","18","2","0","0","25+0","13","1","0","0","3+0","1","1","0","0","2+0","2","0","0","0","5+0","2","0","0","0"
"9","fw","new zealand","kosta barbarouses","32","12","3","0","1","22+0","8","2","0","1","3+0","2","0","0","0","2+0","0","0","0","0","5+0","2","1","0","0"
"10","fw","australia","james troisi","32","5","8","0","0","21+1","3","6","0","0","3+0","1","1","0","0","2+0","1","1","0","0","5+0","0","0","0","0"
"11","fw","australia","mitch austin","7","2","1","1","0","3+2","1","1","1","0","0+0","0","0","0","0","2+0","1","0","0","0","0+0","0","0","0","0"
"14","df","australia","thomas deng","29","2","6","0","0","20+1","2","5","0","0","3+0","0","0","0","0","0+0","0","0","0","0","4+1","0","1","0","0"
"15","mf","australia","cameron mcgilp","2","0","0","0","0","0+0","0","0","0","0","0+0","0","0","0","0","0+1","0","0","0","0","0+1","0","0","0","0"
"16","mf","australia","josh hope","12","0","2","0","0","0+5","0","0","0","0","0+0","0","0","0","0","0+2","0","1","0","0","2+3","0","1","0","0"
"17","df","australia","james donachie","23","0","4","0","0","10+2","0","2","0","0","3+0","0","1","0","0","2+0","0","1","0","0","6+0","0","0","0","0"
"18","mf","argentina","matias sanchez","25","0","8","0","0","14+8","0","6","0","0","0+3","0","2","0","0","0+0","0","0","0","0","0+0","0","0","0","0"
"19","fw","australia","pierce waring","2","1","0","0","0","0+1","0","0","0","0","0+0","0","0","0","0","0+0","0","0","0","0","1+0","1","0","0","0"
"20","gk","australia","lawrence thomas","35","0","1","0","0","25+0","0","1","0","0","3+0","0","0","0","0","2+0","0","0","0","0","5+0","0","0","0","0"
"21","mf","australia","carl valeri","33","0","10","0","0","23+2","0","6","0","0","3+0","0","1","0","0","1+0","0","0","0","0","4+0","0","3","0","0"
"22","mf","australia","stefan nigro","23","0","2","0","0","10+6","0","1","0","0","2+0","0","0","0","0","1+1","0","0","0","0","3+0","0","1","0","0"
"23","fw","new zealand","jai ingham","25","1","0","0","0","6+14","0","0","0","0","0+0","0","0","0","0","0+2","0","0","0","0","1+2","1","0","0","0"
"24","mf","australia","terry antonis","22","1","5","0","0","10+4","0","2","0","0","3+0","1","1","0","0","0+0","0","0","0","0","5+0","0","2","0","0"
"25","mf","australia","birkan kirdar","1","0","0","0","0","0+0","0","0","0","0","0+0","0","0","0","0","0+0","0","0","0","0","0+1","0","0","0","0"
"26","mf","australia","nicholas sette","0","0","0","0","0","0+0","0","0","0","0","0+0","0","0","0","0","0+0","0","0","0","0","0+0","0","0","0","0"
"27","df","australia","callum goulding","0","0","0","0","0","0+0","0","0","0","0","0+0","0","0","0","0","0+0","0","0","0","0","0+0","0","0","0","0"
"30","gk","australia","stephen hatzikourtis","0","0","0","0","0","0+0","0","0","0","0","0+0","0","0","0","0","0+0","0","0","0","0","0+0","0","0","0","0"
"31","fw","australia","christian theoharous","24","1","1","0","0","2+14","1","1","0","0","0+2","0","0","0","0","0+0","0","0","0","0","1+5","0","0","0","0"
"40","gk","australia","matt sutton","0","0","0","0","0","0+0","0","0","0","0","0+0","0","0","0","0","0+0","0","0","0","0","0+0","0","0","0","0"
"41","mf","netherlands","leroy george","34","12","4","0","0","24+2","8","4","0","0","3+0","1","0","0","0","0+0","0","0","0","0","5+0","3","0","0","0"
"players no longer at the club:","players no longer at the club:","players no longer at the club:","players no longer at the club:","players no longer at the club:","players no longer at the club:","players no longer at the club:","players no longer at the club:","players no longer at the club:","players no longer at the club:","players no longer at the club:","players no longer at the club:","players no longer at the club:","players no longer at the club:","players no longer at the club:","players no longer at the club:","players no longer at the club:","players no longer at the club:","players no longer at the club:","players no longer at the club:","players no longer at the club:","players no longer at the club:","players no longer at the club:","players no longer at the club:","none","none","none","none","none"
"2","df","australia","jason geria","25","0","4","1","0","20+1","0","3","1","0","0+0","0","0","0","0","2+0","0","1","0","0","2+0","0","0","0","0"
"3","df","australia","dino djulbic","3","0","0","0","0","3+0","0","0","0","0","0+0","0","0","0","0","0+0","0","0","0","0","0+0","0","0","0","0"
"5","mf","australia","mark milligan","15","4","2","0","1","12+1","3","1","0","1","0+0","0","0","0","0","2+0","1","1","0","0","0+0","0","0","0","0"
